"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cdh_idwk_work_depdemo","seqid","AFA Work table","Sequence ID","numeric"
"dbo","cdh_idwk_work_depdemo","recordid","AFA Work table","Record ID","varchar"
"dbo","cdh_idwk_work_depdemo","payerid","AFA Work table","Payer ID","varchar"
"dbo","cdh_idwk_work_depdemo","employerid","AFA Work table","Employer ID","varchar"
"dbo","cdh_idwk_work_depdemo","employeeid","AFA Work table","Employee ID","varchar"
"dbo","cdh_idwk_work_depdemo","dependentssn","AFA Work table","Dependent SSN","char"
"dbo","cdh_idwk_work_depdemo","dependentid","AFA Work table","Dependent ID","varchar"
"dbo","cdh_idwk_work_depdemo","prefix","AFA Work table","Prefix","varchar"
"dbo","cdh_idwk_work_depdemo","lastname","AFA Work table","Last Name","varchar"
"dbo","cdh_idwk_work_depdemo","firstname","AFA Work table","First Name","char"
"dbo","cdh_idwk_work_depdemo","midname","AFA Work table","Middle Name","char"
"dbo","cdh_idwk_work_depdemo","phone","AFA Work table","Phone","varchar"
"dbo","cdh_idwk_work_depdemo","addrline1","AFA Work table","Address line 1","char"
"dbo","cdh_idwk_work_depdemo","addrline2","AFA Work table","Address line 2","char"
"dbo","cdh_idwk_work_depdemo","city","AFA Work table","City","char"
"dbo","cdh_idwk_work_depdemo","state","AFA Work table","State","char"
"dbo","cdh_idwk_work_depdemo","zip","AFA Work table","Zip Code","char"
"dbo","cdh_idwk_work_depdemo","country","AFA Work table","Country","varchar"
"dbo","cdh_idwk_work_depdemo","dependentstatus","AFA Work table","Status","int"
"dbo","cdh_idwk_work_depdemo","shippingaddrline1","AFA Work table","Address line 1","char"
"dbo","cdh_idwk_work_depdemo","shippingaddrline2","AFA Work table","Address line 2","char"
"dbo","cdh_idwk_work_depdemo","shippingcity","AFA Work table","City","char"
"dbo","cdh_idwk_work_depdemo","shippingstate","AFA Work table","State","char"
"dbo","cdh_idwk_work_depdemo","shippingzip","AFA Work table","Zip Code","char"
"dbo","cdh_idwk_work_depdemo","shippingcountry","AFA Work table","Country","varchar"
"dbo","cdh_idwk_work_depdemo","birthdate","AFA Work table","Birth date","datetime"
"dbo","cdh_idwk_work_depdemo","gender","AFA Work table","Gender","int"
"dbo","cdh_idwk_work_depdemo","relationship","AFA Work table","Relationship","int"
"dbo","cdh_idwk_work_depdemo","fulltimestudent","AFA Work table","Student Status","int"
"dbo","cdh_idwk_work_depdemo","terminationdate","AFA Work table","Termination date","datetime"
"dbo","cdh_idwk_work_depdemo","actioncode","AFA Work table","Action code","char"
