"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cdh_iewk_work_depaccount","seqid","CDH work table","Sequence ID","numeric"
"dbo","cdh_iewk_work_depaccount","recordid","CDH work table","Record ID","varchar"
"dbo","cdh_iewk_work_depaccount","payerid","CDH work table","Payer ID","varchar"
"dbo","cdh_iewk_work_depaccount","employerid","CDH work table","Employer ID","varchar"
"dbo","cdh_iewk_work_depaccount","employeeid","CDH work table","Employee ID","varchar"
"dbo","cdh_iewk_work_depaccount","dependentid","CDH work table","Dependent ID","varchar"
"dbo","cdh_iewk_work_depaccount","accounttypecode","CDH work table","Account type","char"
"dbo","cdh_iewk_work_depaccount","planstartdate","CDH work table","Plan start date","datetime"
"dbo","cdh_iewk_work_depaccount","planenddate","CDH work table","Plan end date","datetime"
"dbo","cdh_iewk_work_depaccount","deleteaccount","CDH work table","Account delete","int"
"dbo","cdh_iewk_work_depaccount","individualamt","CDH work table","Individual Amount","numeric"
"dbo","cdh_iewk_work_depaccount","planid","CDH work table","Plan ID","char"
"dbo","cdh_iewk_work_depaccount","terminationdate","CDH work table","Termination Date","datetime"
"dbo","cdh_iewk_work_depaccount","effectivedate","CDH work table","Effective Date","datetime"
"dbo","cdh_iewk_work_depaccount","status","CDH work table","Status","int"
"dbo","cdh_iewk_work_depaccount","actioncode","CDH work table","Action Code","char"
