"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cdherrorlog","seqno","","","numeric"
"dbo","cdherrorlog","vendorid","","Vendor ID","varchar"
"dbo","cdherrorlog","createdtm","","","datetime"
"dbo","cdherrorlog","sourcename","","","varchar"
"dbo","cdherrorlog","memberkey","","","varchar"
"dbo","cdherrorlog","recordtype","","","varchar"
"dbo","cdherrorlog","errorcode","","","varchar"
"dbo","cdherrorlog","info","","","varchar"
"dbo","cdherrorlog","archived","","","char"
"dbo","cdherrorlog","fixed","","","char"
