"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_bade_detail","blei_ck","Billing Archive Detail","Billing Entity Contrived Key","int"
"dbo","cds_bade_detail","blei_bill_level","Billing Archive Detail","Bill Level","char"
"dbo","cds_bade_detail","blei_id","Billing Archive Detail","Billing Entity ID","char"
"dbo","cds_bade_detail","blei_name","Billing Archive Detail","Billing Entity Name","char"
"dbo","cds_bade_detail","blbl_from_due_dt","Billing Archive Detail","Bill From Due Date","datetime"
"dbo","cds_bade_detail","blbl_to_due_dt","Billing Archive Detail","Bill To Due Date","datetime"
"dbo","cds_bade_detail","blar_ret_mos","Billing Archive Detail","Bill Archive Retained Months","int"
"dbo","cds_bade_detail","blar_ret_ind","Billing Archive Detail","Bill Archive Retained Indicator","char"
"dbo","cds_bade_detail","blar_arch_mos","Billing Archive Detail","Bill Archive Months","int"
"dbo","cds_bade_detail","bade_lock_token","Billing Archive Detail","Lock Token","smallint"
"dbo","cds_bade_detail","atxr_source_id","Billing Archive Detail","Attachment Source Id","datetime"
