"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_blbf_blac_fcst","blei_ck","Billing Forecast table","Billing Entity Contrived Key","int"
"dbo","cds_blbf_blac_fcst","blbl_due_dt","Billing Forecast table","Billing Entity Due Date","datetime"
"dbo","cds_blbf_blac_fcst","blcn_id","Billing Forecast table","Contract ID","char"
"dbo","cds_blbf_blac_fcst","blbf_create_dtm","Billing Forecast table","Create Date and Time","datetime"
"dbo","cds_blbf_blac_fcst","blbf_posting_dt","Billing Forecast table","Posting Date","datetime"
"dbo","cds_blbf_blac_fcst","rcpt_id","Billing Forecast table","Receipt ID","varchar"
"dbo","cds_blbf_blac_fcst","blrc_seq_no","Billing Forecast table","Sequence Number","int"
"dbo","cds_blbf_blac_fcst","cspi_id","Billing Forecast table","Plan ID","char"
"dbo","cds_blbf_blac_fcst","pdpd_id","Billing Forecast table","Product ID","char"
"dbo","cds_blbf_blac_fcst","pdbl_id","Billing Forecast table","Bill Component ID","char"
"dbo","cds_blbf_blac_fcst","pmfa_id","Billing Forecast table","Fee/Discount ID","char"
"dbo","cds_blbf_blac_fcst","lobd_id","Billing Forecast table","Line of Business ID","char"
"dbo","cds_blbf_blac_fcst","coce_id","Billing Forecast table","Commission Entity ID","char"
"dbo","cds_blbf_blac_fcst","blbf_acct_cat","Billing Forecast table","Accounting Category","char"
"dbo","cds_blbf_blac_fcst","blbf_yr1_ind","Billing Forecast table","First Year Indicator","char"
"dbo","cds_blbf_blac_fcst","blbf_type","Billing Forecast table","Activity Type","char"
"dbo","cds_blbf_blac_fcst","blbf_source","Billing Forecast table","Activity Source","char"
"dbo","cds_blbf_blac_fcst","acad_gen_ldgr_no","Billing Forecast table","General Ledger Number","char"
"dbo","cds_blbf_blac_fcst","blbf_debit_amt","Billing Forecast table","Debit GL Amount","money"
"dbo","cds_blbf_blac_fcst","blbf_credit_amt","Billing Forecast table","Credit GL Amount","money"
"dbo","cds_blbf_blac_fcst","acgl_type","Billing Forecast table","GL Account Type","char"
"dbo","cds_blbf_blac_fcst","acgl_activity","Billing Forecast table","GL Account Activity","char"
"dbo","cds_blbf_blac_fcst","blbf_var_data_1","Billing Forecast table","Variable_Data 1","char"
"dbo","cds_blbf_blac_fcst","blbf_var_data_2","Billing Forecast table","Variable_Data 2","char"
"dbo","cds_blbf_blac_fcst","blbf_var_data_3","Billing Forecast table","Variable_Data 3","char"
"dbo","cds_blbf_blac_fcst","blbf_je_no","Billing Forecast table","Journal Entry Number","varchar"
"dbo","cds_blbf_blac_fcst","blbf_opts","Billing Forecast table","General Ledger Options","char"
"dbo","cds_blbf_blac_fcst","rcpt_mctr_hold","Billing Forecast table","Receipt Hold","char"
"dbo","cds_blbf_blac_fcst","mcbd_id","Billing Forecast table","Bank ID","char"
"dbo","cds_blbf_blac_fcst","blbf_invoice_dtm","Billing Forecast table","Invoice Date and Time","datetime"
"dbo","cds_blbf_blac_fcst","blbf_fnac_pcs_ind","Billing Forecast table","FNAC Process Indicator","char"
"dbo","cds_blbf_blac_fcst","blbf_lock_token","Billing Forecast table","Lock Token","smallint"
"dbo","cds_blbf_blac_fcst","atxr_source_id","Billing Forecast table","Attachment Source Id","datetime"
