"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_cacg_charge","syin_inst","Confinement Charges Table","Instance ID","bigint"
"dbo","cds_cacg_charge","meme_ck","Confinement Charges Table","Member Contrived Key","int"
"dbo","cds_cacg_charge","cast_conf_num","Confinement Charges Table","Confinement Number","smallint"
"dbo","cds_cacg_charge","casv_mctr_type","Confinement Charges Table","Confinement Service Category Type","char"
"dbo","cds_cacg_charge","cacg_type_desc","Confinement Charges Table","Confinement Charge Type Description","char"
"dbo","cds_cacg_charge","cacg_charge","Confinement Charges Table","Confinement Charge Total Charge","money"
"dbo","cds_cacg_charge","cacg_allow","Confinement Charges Table","Confinement Charge Total Allowed","money"
"dbo","cds_cacg_charge","cacg_deduct","Confinement Charges Table","Confinement Charge Total Deductible","money"
"dbo","cds_cacg_charge","cacg_copay","Confinement Charges Table","Confinement Charge Total Copay","money"
"dbo","cds_cacg_charge","cacg_coins","Confinement Charges Table","Confinement Charge Total Coinsurance","money"
"dbo","cds_cacg_charge","cacg_risk_wh","Confinement Charges Table","Confinement ChargeTotal Risk Withhold","money"
"dbo","cds_cacg_charge","cacg_cob","Confinement Charges Table","Confinement Charge Total COB","money"
"dbo","cds_cacg_charge","cacg_benefit","Confinement Charges Table","Confinement Charge Total Benefit","money"
"dbo","cds_cacg_charge","cacg_lock_token","Confinement Charges Table","Lock Token","smallint"
