"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_cast_stay","syin_inst","Confinement Stay Table","Instance Identifier","bigint"
"dbo","cds_cast_stay","meme_ck","Confinement Stay Table","Member Contrived Key","int"
"dbo","cds_cast_stay","cast_conf_num","Confinement Stay Table","Confinement Stay Number","smallint"
"dbo","cds_cast_stay","cast_create_dt","Confinement Stay Table","Confinement Stay Create Date","datetime"
"dbo","cds_cast_stay","grgr_ck","Confinement Stay Table","Group Contrived Key","int"
"dbo","cds_cast_stay","grgr_id","Confinement Stay Table","Group Identifier","char"
"dbo","cds_cast_stay","sbsb_ck","Confinement Stay Table","Subscriber Contrived Key","int"
"dbo","cds_cast_stay","sbsb_id","Confinement Stay Table","Subscriber Identifier","char"
"dbo","cds_cast_stay","sgsg_ck","Confinement Stay Table","Subgroup Contrived Key","int"
"dbo","cds_cast_stay","sgsg_id","Confinement Stay Table","Subgroup Identifier","char"
"dbo","cds_cast_stay","cscs_id","Confinement Stay Table","Class Identifier","char"
"dbo","cds_cast_stay","cspi_id","Confinement Stay Table","Plan Identifier","char"
"dbo","cds_cast_stay","pdpd_id","Confinement Stay Table","Product Identifier","char"
"dbo","cds_cast_stay","cast_prime_lob","Confinement Stay Table","Primary Line of Business Identifier","char"
"dbo","cds_cast_stay","agag_id","Confinement Stay Table","Agreement Identifier","char"
"dbo","cds_cast_stay","meme_sfx","Confinement Stay Table","Member Suffix","smallint"
"dbo","cds_cast_stay","meme_rel","Confinement Stay Table","Member Relationship","char"
"dbo","cds_cast_stay","meme_sex","Confinement Stay Table","Member Sex","char"
"dbo","cds_cast_stay","meme_id_name","Confinement Stay Table","Member Short Name","char"
"dbo","cds_cast_stay","clcl_me_age","Confinement Stay Table","Member's Age on Claim Level","smallint"
"dbo","cds_cast_stay","clhp_fac_type","Confinement Stay Table","Specific Hospital Facility Type","char"
"dbo","cds_cast_stay","clhp_bill_class","Confinement Stay Table","Specific Hospital Bill Classification","char"
"dbo","cds_cast_stay","clhp_frequency","Confinement Stay Table","Specific Hospital Bill Frequency","char"
"dbo","cds_cast_stay","cast_rb1_paid_dt","Confinement Stay Table","Paid date of first R & B claim used in building this stay.","datetime"
"dbo","cds_cast_stay","cast_rb2_paid_dt","Confinement Stay Table","Paid date of Final R & B claim used to build this stay.","datetime"
"dbo","cds_cast_stay","clhp_adm_typ","Confinement Stay Table","Specific Hospital Admission Type","char"
"dbo","cds_cast_stay","cast_admit_type","Confinement Stay Table","Confinement Stay Admission Type","char"
"dbo","cds_cast_stay","cast_adm_dt","Confinement Stay Table","Confinement Stay Admission Date","datetime"
"dbo","cds_cast_stay","cast_dc_dt","Confinement Stay Table","Confinement Stay Discharge Date","datetime"
"dbo","cds_cast_stay","clhp_dc_stat","Confinement Stay Table","Confinement Stay Discharge Status","char"
"dbo","cds_cast_stay","cast_los","Confinement Stay Table","Confinement Length of stay","smallint"
"dbo","cds_cast_stay","cast_prpr_id","Confinement Stay Table","Provider/Facility Identifier for Confinement Stay","char"
"dbo","cds_cast_stay","clhp_prpr_id_adm","Confinement Stay Table","Admitting Provider Identifier","char"
"dbo","cds_cast_stay","clhp_prpr_id_oth1","Confinement Stay Table","Other Provider 1 Identifier","char"
