"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_clmd_temp","clcl_id","Diagnosis Code Data","Accident/Emergency Illness Amount","char"
"dbo","cds_clmd_temp","clmd_idcd_idp","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_ida","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id3","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id4","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id5","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id6","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id7","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id8","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id9","Diagnosis Code Data","Temp Table Column","varchar"
"dbo","cds_clmd_temp","clmd_idcd_id10","Diagnosis Code Data","Temp Table Column","varchar"
