"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_coin_coce_ind","syin_inst","Commission Entity Indicative Reporting Table","System Instance ID","bigint"
"dbo","cds_coin_coce_ind","coce_id","Commission Entity Indicative Reporting Table","Commission Entity ID","char"
"dbo","cds_coin_coce_ind","cotd_enty_type","Commission Entity Indicative Reporting Table","Commission Entity Type","char"
"dbo","cds_coin_coce_ind","cotd_desc","Commission Entity Indicative Reporting Table","Commission Entity Type Description","char"
"dbo","cds_coin_coce_ind","coce_ck","Commission Entity Indicative Reporting Table","Commission Entity Contrived Key","int"
"dbo","cds_coin_coce_ind","coce_name","Commission Entity Indicative Reporting Table","Commission Entity Name","char"
"dbo","cds_coin_coce_ind","mctn_id","Commission Entity Indicative Reporting Table","Tax ID","char"
"dbo","cds_coin_coce_ind","coce_term_dt","Commission Entity Indicative Reporting Table","Termination Date","datetime"
"dbo","cds_coin_coce_ind","coce_mctr_trsn","Commission Entity Indicative Reporting Table","Termination Reason","char"
"dbo","cds_coin_coce_ind","coce_mctr_vip","Commission Entity Indicative Reporting Table","VIP Code","char"
"dbo","cds_coin_coce_ind","coce_mctr_curr","Commission Entity Indicative Reporting Table","Currency code","char"
"dbo","cds_coin_coce_ind","coce_mailing_ind","Commission Entity Indicative Reporting Table","Mailing Indicator","char"
"dbo","cds_coin_coce_ind","coce_extn_addr_ind","Commission Entity Indicative Reporting Table","External Address Indicator","char"
"dbo","cds_coin_coce_ind","coci_id","Commission Entity Indicative Reporting Table","Common Information ID","char"
"dbo","cds_coin_coce_ind","coci_type","Commission Entity Indicative Reporting Table","Common Information type","char"
"dbo","cds_coin_coce_ind","coci_ssn","Commission Entity Indicative Reporting Table","Social Security Number","char"
"dbo","cds_coin_coce_ind","coci_mctr_lang","Commission Entity Indicative Reporting Table","Language code","char"
"dbo","cds_coin_coce_ind","coad_addr1","Commission Entity Indicative Reporting Table","Address Line 1","char"
"dbo","cds_coin_coce_ind","coad_addr2","Commission Entity Indicative Reporting Table","Address Line 2","char"
"dbo","cds_coin_coce_ind","coad_addr3","Commission Entity Indicative Reporting Table","Address Line 3","char"
"dbo","cds_coin_coce_ind","coad_city","Commission Entity Indicative Reporting Table","City","char"
"dbo","cds_coin_coce_ind","coad_state","Commission Entity Indicative Reporting Table","State","char"
"dbo","cds_coin_coce_ind","coad_zip","Commission Entity Indicative Reporting Table","Zip Code","char"
"dbo","cds_coin_coce_ind","coad_county","Commission Entity Indicative Reporting Table","County","char"
"dbo","cds_coin_coce_ind","coad_ctry_cd","Commission Entity Indicative Reporting Table","Country code","char"
"dbo","cds_coin_coce_ind","coad_phone","Commission Entity Indicative Reporting Table","Phone number","char"
"dbo","cds_coin_coce_ind","coad_phone_ext","Commission Entity Indicative Reporting Table","Phone extension","char"
"dbo","cds_coin_coce_ind","coad_fax","Commission Entity Indicative Reporting Table","Fax number","char"
"dbo","cds_coin_coce_ind","coad_fax_ext","Commission Entity Indicative Reporting Table","Fax extension","char"
"dbo","cds_coin_coce_ind","coad_email","Commission Entity Indicative Reporting Table","E-mail address","char"
"dbo","cds_coin_coce_ind","coce_stmt_from_dt","Commission Entity Indicative Reporting Table","Statement From Date","datetime"
"dbo","cds_coin_coce_ind","coce_stmt_thru_dt","Commission Entity Indicative Reporting Table","Statement Thru Date","datetime"
"dbo","cds_coin_coce_ind","coin_lock_token","Commission Entity Indicative Reporting Table","Lock Token","smallint"
