"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_fnco_fncl_comm","blei_ck","Commissions and Financial Detail Reporting Table","Billing Entity Contrived Key","int"
"dbo","cds_fnco_fncl_comm","fnco_activity_dt","Commissions and Financial Detail Reporting Table","Activity Date","datetime"
"dbo","cds_fnco_fncl_comm","fnco_type_ind","Commissions and Financial Detail Reporting Table","Type Indicator","char"
"dbo","cds_fnco_fncl_comm","fnco_seq_no","Commissions and Financial Detail Reporting Table","Sequence Number","smallint"
"dbo","cds_fnco_fncl_comm","coar_id","Commissions and Financial Detail Reporting Table","Arrangement ID","char"
"dbo","cds_fnco_fncl_comm","cocp_comm_per","Commissions and Financial Detail Reporting Table","Commission Period","smallint"
"dbo","cds_fnco_fncl_comm","cocp_beg_dt","Commissions and Financial Detail Reporting Table","Period Begin Date","datetime"
"dbo","cds_fnco_fncl_comm","cocp_end_dt","Commissions and Financial Detail Reporting Table","Period End Date","datetime"
"dbo","cds_fnco_fncl_comm","coce_id","Commissions and Financial Detail Reporting Table","Commission Entity ID","char"
"dbo","cds_fnco_fncl_comm","coce_id_payee","Commissions and Financial Detail Reporting Table","Commission Payee ID","char"
"dbo","cds_fnco_fncl_comm","coag_eff_dt","Commissions and Financial Detail Reporting Table","Aggreement Effective Date","datetime"
"dbo","cds_fnco_fncl_comm","coec_ovrd_amt","Commissions and Financial Detail Reporting Table","Override Amount","money"
"dbo","cds_fnco_fncl_comm","lobd_id","Commissions and Financial Detail Reporting Table","Line of Business ID","char"
"dbo","cds_fnco_fncl_comm","cocc_basis","Commissions and Financial Detail Reporting Table","Basis","money"
"dbo","cds_fnco_fncl_comm","cocc_per_bill_ctr","Commissions and Financial Detail Reporting Table","Per Bill Counter","smallint"
"dbo","cds_fnco_fncl_comm","cocc_source_amt","Commissions and Financial Detail Reporting Table","Calculated Commission Source Amount","money"
"dbo","cds_fnco_fncl_comm","cocc_ovrd_amt","Commissions and Financial Detail Reporting Table","Calculated Commission Override Amount","money"
"dbo","cds_fnco_fncl_comm","cocc_comm_amt_calc","Commissions and Financial Detail Reporting Table","Calculated Commission Amount","money"
"dbo","cds_fnco_fncl_comm","cocc_adv_amt_calc","Commissions and Financial Detail Reporting Table","Calculated Advance Amount","money"
"dbo","cds_fnco_fncl_comm","coec_paid_dt","Commissions and Financial Detail Reporting Table","Earned Paid Date","datetime"
"dbo","cds_fnco_fncl_comm","coec_source_amt","Commissions and Financial Detail Reporting Table","Earned Source Amount","money"
"dbo","cds_fnco_fncl_comm","coce_ovrd_id","Commissions and Financial Detail Reporting Table","Override ID","char"
"dbo","cds_fnco_fncl_comm","coec_comm_amt_earn","Commissions and Financial Detail Reporting Table","Earned Commission Amount","money"
