"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_imef_cntrl_dtl","syin_inst","ITS Membership Exchange Format Control Detail Table","Instance ID (Job Number)","bigint"
"dbo","cds_imef_cntrl_dtl","itlc_local_plan_cd","ITS Membership Exchange Format Control Detail Table","Local Plan Code","char"
"dbo","cds_imef_cntrl_dtl","itma_ctrl_plan_cd","ITS Membership Exchange Format Control Detail Table","Control Plan Code","char"
"dbo","cds_imef_cntrl_dtl","meme_ck","ITS Membership Exchange Format Control Detail Table","Member Contrived Key","int"
"dbo","cds_imef_cntrl_dtl","grgr_ck","ITS Membership Exchange Format Control Detail Table","Group Contrived Key","int"
"dbo","cds_imef_cntrl_dtl","sbsb_ck","ITS Membership Exchange Format Control Detail Table","Subscriber Contrived Key","int"
"dbo","cds_imef_cntrl_dtl","grgr_id","ITS Membership Exchange Format Control Detail Table","Group Identifier","char"
"dbo","cds_imef_cntrl_dtl","imef_cov_end_dt","ITS Membership Exchange Format Control Detail Table","Coverage End Date","datetime"
"dbo","cds_imef_cntrl_dtl","imef_cov_strt_dt","ITS Membership Exchange Format Control Detail Table","Coverage Start Date","datetime"
"dbo","cds_imef_cntrl_dtl","imef_sub_dep_ind","ITS Membership Exchange Format Control Detail Table","Subscriber/Dependent Indicator","char"
"dbo","cds_imef_cntrl_dtl","itma_ctrl_grgr_id","ITS Membership Exchange Format Control Detail Table","Subscriber Group Number","char"
"dbo","cds_imef_cntrl_dtl","itma_ctrl_sect_id","ITS Membership Exchange Format Control Detail Table","Subscriber Group Section Number","char"
"dbo","cds_imef_cntrl_dtl","itnw_its_nw_id","ITS Membership Exchange Format Control Detail Table","Provider Network ID","char"
"dbo","cds_imef_cntrl_dtl","meit_its_sbsb_id","ITS Membership Exchange Format Control Detail Table","Subscriber Identification Number","char"
"dbo","cds_imef_cntrl_dtl","meit_pat_rel","ITS Membership Exchange Format Control Detail Table","Patient Relationship to Subscriber","char"
"dbo","cds_imef_cntrl_dtl","meme_birth_dt","ITS Membership Exchange Format Control Detail Table","Date of Birth","datetime"
"dbo","cds_imef_cntrl_dtl","meme_first_name","ITS Membership Exchange Format Control Detail Table","Subscriber/Dependent First Name","char"
"dbo","cds_imef_cntrl_dtl","meme_last_name","ITS Membership Exchange Format Control Detail Table","Subscriber/Dependent Last Name","char"
"dbo","cds_imef_cntrl_dtl","meme_mid_init","ITS Membership Exchange Format Control Detail Table","Subscriber/Dependent Middle Initial","char"
"dbo","cds_imef_cntrl_dtl","meme_sex","ITS Membership Exchange Format Control Detail Table","Gender","char"
"dbo","cds_imef_cntrl_dtl","meme_sfx","ITS Membership Exchange Format Control Detail Table","Member Suffix","smallint"
"dbo","cds_imef_cntrl_dtl","mepr_eff_dt","ITS Membership Exchange Format Control Detail Table","Primary Care Provider Effective Date","datetime"
"dbo","cds_imef_cntrl_dtl","mepr_term_dt","ITS Membership Exchange Format Control Detail Table","Primary Care Provider Termination Date","datetime"
"dbo","cds_imef_cntrl_dtl","prpr_id","ITS Membership Exchange Format Control Detail Table","Provider Identifier","char"
"dbo","cds_imef_cntrl_dtl","prpr_name","ITS Membership Exchange Format Control Detail Table","Provider Name","char"
"dbo","cds_imef_cntrl_dtl","sbsb_id","ITS Membership Exchange Format Control Detail Table","Subscriber Identifier","char"
"dbo","cds_imef_cntrl_dtl","imef_recon_to_dt","ITS Membership Exchange Format Control Detail Table","Reconciliation To Date","datetime"
"dbo","cds_imef_cntrl_dtl","imef_addl_data","ITS Membership Exchange Format Control Detail Table","Additional Data","varchar"
"dbo","cds_imef_cntrl_dtl","imef_create_dtm","ITS Membership Exchange Format Control Detail Table","Create Date","datetime"
"dbo","cds_imef_cntrl_dtl","imef_lock_token","ITS Membership Exchange Format Control Detail Table","Lock Token","smallint"
