"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_mmct_mem_count","mmct_elig_dt","Monthly Member Counts Table","Eligible As Of Date","datetime"
"dbo","cds_mmct_mem_count","cspd_cat","Monthly Member Counts Table","Class Product Category","char"
"dbo","cds_mmct_mem_count","prpr_id","Monthly Member Counts Table","Provider Identifier","char"
"dbo","cds_mmct_mem_count","mepr_pcp_type","Monthly Member Counts Table","PCP Type","char"
"dbo","cds_mmct_mem_count","mmct_type","Monthly Member Counts Table","Member Month Count Type","char"
"dbo","cds_mmct_mem_count","grgr_ck","Monthly Member Counts Table","Group Contrived Key","int"
"dbo","cds_mmct_mem_count","sgsg_ck","Monthly Member Counts Table","Subgroup Contrived Key","int"
"dbo","cds_mmct_mem_count","cscs_id","Monthly Member Counts Table","Class Identifier","char"
"dbo","cds_mmct_mem_count","cspi_id","Monthly Member Counts Table","Class Plan Identifier","char"
"dbo","cds_mmct_mem_count","mmct_rel","Monthly Member Counts Table","Member Relation","char"
"dbo","cds_mmct_mem_count","meme_sex","Monthly Member Counts Table","Member Gender","char"
"dbo","cds_mmct_mem_count","mmct_from_age","Monthly Member Counts Table","Member From Age","int"
"dbo","cds_mmct_mem_count","mmct_thru_age","Monthly Member Counts Table","Member Thru Age","int"
"dbo","cds_mmct_mem_count","syin_inst","Monthly Member Counts Table","System Instance Identifier","bigint"
"dbo","cds_mmct_mem_count","syin_create_dt_tm","Monthly Member Counts Table","System Create Date/Time Stamp","datetime"
"dbo","cds_mmct_mem_count","mmct_members","Monthly Member Counts Table","Member Month Count","int"
"dbo","cds_mmct_mem_count","grgr_id","Monthly Member Counts Table","Group Identifier","char"
"dbo","cds_mmct_mem_count","grgr_name","Monthly Member Counts Table","Group Name","char"
"dbo","cds_mmct_mem_count","sgsg_id","Monthly Member Counts Table","Subgroup Identifier","char"
"dbo","cds_mmct_mem_count","sgsg_name","Monthly Member Counts Table","Subgroup Name","char"
"dbo","cds_mmct_mem_count","cscs_desc","Monthly Member Counts Table","Class Description","char"
"dbo","cds_mmct_mem_count","plds_desc","Monthly Member Counts Table","Class Plan Description","char"
"dbo","cds_mmct_mem_count","pdpd_id","Monthly Member Counts Table","Product Identifier","char"
"dbo","cds_mmct_mem_count","pdds_desc","Monthly Member Counts Table","Product Description","char"
"dbo","cds_mmct_mem_count","lobd_id","Monthly Member Counts Table","Line of Business Identifier","char"
"dbo","cds_mmct_mem_count","lobd_name","Monthly Member Counts Table","Line of Business Name","char"
"dbo","cds_mmct_mem_count","lobd_alt_risk_id","Monthly Member Counts Table","Alternate Line of Business Identifier","char"
"dbo","cds_mmct_mem_count","prpr_name","Monthly Member Counts Table","Provider Name","char"
"dbo","cds_mmct_mem_count","mcrl_meme_crel_cd","Monthly Member Counts Table","N/A","char"
"dbo","cds_mmct_mem_count","mcrl_crel_desc","Monthly Member Counts Table","N/A","varchar"
"dbo","cds_mmct_mem_count","mmct_lock_token","Monthly Member Counts Table","Lock Token","smallint"
