"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_pdad_addr","syin_inst","Provider Address Table for Provider Directories","Instance ID","bigint"
"dbo","cds_pdad_addr","prpr_id","Provider Address Table for Provider Directories","Provider Identifier","char"
"dbo","cds_pdad_addr","prad_id","Provider Address Table for Provider Directories","Provider Address ID","char"
"dbo","cds_pdad_addr","prad_type","Provider Address Table for Provider Directories","Provider Address Type","char"
"dbo","cds_pdad_addr","prad_eff_dt","Provider Address Table for Provider Directories","Provider Address Type Effective Date","datetime"
"dbo","cds_pdad_addr","prad_addr1","Provider Address Table for Provider Directories","Provider Address Line 1","char"
"dbo","cds_pdad_addr","prad_addr2","Provider Address Table for Provider Directories","Provider Address Line 2","char"
"dbo","cds_pdad_addr","prad_addr3","Provider Address Table for Provider Directories","Provider Address Line 3","char"
"dbo","cds_pdad_addr","prad_city","Provider Address Table for Provider Directories","Provider's City","char"
"dbo","cds_pdad_addr","prad_state","Provider Address Table for Provider Directories","Provider's Address State","char"
"dbo","cds_pdad_addr","prad_zip","Provider Address Table for Provider Directories","Provider's Address Zip Code","char"
"dbo","cds_pdad_addr","prad_county","Provider Address Table for Provider Directories","Provider Address County","char"
"dbo","cds_pdad_addr","prad_ctry_cd","Provider Address Table for Provider Directories","Provider Address Country","char"
"dbo","cds_pdad_addr","prad_phone","Provider Address Table for Provider Directories","Provider Address Phone Number","char"
"dbo","cds_pdad_addr","prad_phone_ext","Provider Address Table for Provider Directories","Provider Address Phone Extension Number","char"
"dbo","cds_pdad_addr","prad_fax","Provider Address Table for Provider Directories","Provider Address Fax Number","char"
"dbo","cds_pdad_addr","prad_fax_ext","Provider Address Table for Provider Directories","Provider Address Fax Number Extension","char"
"dbo","cds_pdad_addr","prad_email","Provider Address Table for Provider Directories","Provider Address E-mail","char"
"dbo","cds_pdad_addr","prad_hd_ind","Provider Address Table for Provider Directories","Provider Address Handicap Access Indicator","char"
"dbo","cds_pdad_addr","pdad_long","Provider Address Table for Provider Directories","Provider Address Longitude","int"
"dbo","cds_pdad_addr","pdad_lat","Provider Address Table for Provider Directories","Provider Address Latitude","int"
"dbo","cds_pdad_addr","pdad_geo_rtrn_cd","Provider Address Table for Provider Directories","Provider Address GeoReturn Code","char"
"dbo","cds_pdad_addr","pdad_mel_rtrn_cd_nvl","Provider Address Table for Provider Directories","Provider Address Melissa Data Return Code","varchar"
