"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_pyin_payee_ind","ckpy_ref_id","Payee and Capitated Prov Summary Info for most recent capitation run","Check Reference ID","char"
"dbo","cds_pyin_payee_ind","pyin_pay_dt","Payee and Capitated Prov Summary Info for most recent capitation run","Payment Date","datetime"
"dbo","cds_pyin_payee_ind","lobd_id","Payee and Capitated Prov Summary Info for most recent capitation run","Line of Business Code","char"
"dbo","cds_pyin_payee_ind","crme_payee_pr_id","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Provider ID","char"
"dbo","cds_pyin_payee_ind","crbd_bat_id","Payee and Capitated Prov Summary Info for most recent capitation run","Batch ID","char"
"dbo","cds_pyin_payee_ind","crme_cr_pr_type","Payee and Capitated Prov Summary Info for most recent capitation run","Capitation Type","char"
"dbo","cds_pyin_payee_ind","crme_pymt_meth_ind","Payee and Capitated Prov Summary Info for most recent capitation run","Payment Method Indicator","char"
"dbo","cds_pyin_payee_ind","crme_cr_pr_id","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider ID","char"
"dbo","cds_pyin_payee_ind","pyin_cr_name","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider Name","char"
"dbo","cds_pyin_payee_ind","pyin_cr_mctr_type","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider Type","char"
"dbo","cds_pyin_payee_ind","pyin_cr_mctr_spec","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider Specialty","char"
"dbo","cds_pyin_payee_ind","pyin_cr_addr1","Payee and Capitated Prov Summary Info for most recent capitation run","Cap Prov Address Line 1","char"
"dbo","cds_pyin_payee_ind","pyin_cr_addr2","Payee and Capitated Prov Summary Info for most recent capitation run","Cap Prov Address Line 2","char"
"dbo","cds_pyin_payee_ind","pyin_cr_addr3","Payee and Capitated Prov Summary Info for most recent capitation run","Cap Prov Address Line 3","char"
"dbo","cds_pyin_payee_ind","pyin_cr_city","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider City","char"
"dbo","cds_pyin_payee_ind","pyin_cr_state","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider State","char"
"dbo","cds_pyin_payee_ind","pyin_cr_zip","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider Zip Code","char"
"dbo","cds_pyin_payee_ind","pyin_cr_county","Payee and Capitated Prov Summary Info for most recent capitation run","Capitated Provider County","char"
"dbo","cds_pyin_payee_ind","pyin_cr_ctry_cd","Payee and Capitated Prov Summary Info for most recent capitation run","Country","char"
"dbo","cds_pyin_payee_ind","pyin_cr_phone","Payee and Capitated Prov Summary Info for most recent capitation run","Cap Prov Phone Number","char"
"dbo","cds_pyin_payee_ind","pyin_cr_phon_ext","Payee and Capitated Prov Summary Info for most recent capitation run","Cap Prov Phone Extension","char"
"dbo","cds_pyin_payee_ind","pyin_cr_fax","Payee and Capitated Prov Summary Info for most recent capitation run","Cap Prov Fax Number","char"
"dbo","cds_pyin_payee_ind","pyin_cr_fax_ext","Payee and Capitated Prov Summary Info for most recent capitation run","Cap Prov Fax Extension","char"
"dbo","cds_pyin_payee_ind","pyin_cr_email","Payee and Capitated Prov Summary Info for most recent capitation run","Email","char"
"dbo","cds_pyin_payee_ind","pyin_py_name","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Name","char"
"dbo","cds_pyin_payee_ind","pyin_py_mctr_type","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Type","char"
"dbo","cds_pyin_payee_ind","pyin_py_mctr_spec","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Specialty","char"
"dbo","cds_pyin_payee_ind","pyin_py_addr1","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Address Line 1","char"
"dbo","cds_pyin_payee_ind","pyin_py_addr2","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Address Line 2","char"
"dbo","cds_pyin_payee_ind","pyin_py_addr3","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Address Line 3","char"
"dbo","cds_pyin_payee_ind","pyin_py_city","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Address City","char"
"dbo","cds_pyin_payee_ind","pyin_py_state","Payee and Capitated Prov Summary Info for most recent capitation run","Payee State","char"
"dbo","cds_pyin_payee_ind","pyin_py_zip","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Zip Code","char"
"dbo","cds_pyin_payee_ind","pyin_py_county","Payee and Capitated Prov Summary Info for most recent capitation run","Payee County","char"
"dbo","cds_pyin_payee_ind","pyin_py_ctry_cd","Payee and Capitated Prov Summary Info for most recent capitation run","Country Code","char"
"dbo","cds_pyin_payee_ind","pyin_py_phone","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Phone Number","char"
"dbo","cds_pyin_payee_ind","pyin_py_phon_ext","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Phone Extension","char"
"dbo","cds_pyin_payee_ind","pyin_py_fax","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Fax Number","char"
"dbo","cds_pyin_payee_ind","pyin_py_fax_ext","Payee and Capitated Prov Summary Info for most recent capitation run","Payee Fax Extension","char"
"dbo","cds_pyin_payee_ind","pyin_py_email","Payee and Capitated Prov Summary Info for most recent capitation run","Email","char"
"dbo","cds_pyin_payee_ind","crpr_curr_amt","Payee and Capitated Prov Summary Info for most recent capitation run","Current Capitation Amount","money"
"dbo","cds_pyin_payee_ind","crpr_auto_adj_amt","Payee and Capitated Prov Summary Info for most recent capitation run","Automatic Adjustment Amount","money"
"dbo","cds_pyin_payee_ind","crpr_man_adj_amt","Payee and Capitated Prov Summary Info for most recent capitation run","Manual Adjustment Amount","money"
"dbo","cds_pyin_payee_ind","crpr_clm_red_amt","Payee and Capitated Prov Summary Info for most recent capitation run","Claim Reduction Amount","money"
"dbo","cds_pyin_payee_ind","crpr_net_amt","Payee and Capitated Prov Summary Info for most recent capitation run","Net Capitation Amount","money"
"dbo","cds_pyin_payee_ind","crpr_curr_me_m","Payee and Capitated Prov Summary Info for most recent capitation run","Current Member Months","money"
"dbo","cds_pyin_payee_ind","crpr_auto_adj_me_m","Payee and Capitated Prov Summary Info for most recent capitation run","Auto Adj Member Months","money"
"dbo","cds_pyin_payee_ind","crpr_man_adj_me_m","Payee and Capitated Prov Summary Info for most recent capitation run","Manual Adj Member Months","money"
"dbo","cds_pyin_payee_ind","crpr_members","Payee and Capitated Prov Summary Info for most recent capitation run","Current Member Count","int"
