"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_temp_apap_prad","prpr_id","CDS_TEMP_APAP_PRAD Temp Table.","Servicing Provider","char"
"dbo","cds_temp_apap_prad","prpr_entity","CDS_TEMP_APAP_PRAD Temp Table.","Provider Entity","char"
"dbo","cds_temp_apap_prad","prcr_id","CDS_TEMP_APAP_PRAD Temp Table.","Credentialing ID","char"
"dbo","cds_temp_apap_prad","tpct_mctr_tcat","CDS_TEMP_APAP_PRAD Temp Table.","Provider Procedure/Revenue Code Conversion Table Category","char"
"dbo","cds_temp_apap_prad","prpr_pay_cl_meth","CDS_TEMP_APAP_PRAD Temp Table.","Provider Claim Payment Combined Check Indicator","char"
"dbo","cds_temp_apap_prad","prpr_mctr_type","CDS_TEMP_APAP_PRAD Temp Table.","Provider Type","char"
"dbo","cds_temp_apap_prad","prpr_mctr_prty","CDS_TEMP_APAP_PRAD Temp Table.","Provider Practice Type","char"
"dbo","cds_temp_apap_prad","prcf_mctr_spec","CDS_TEMP_APAP_PRAD Temp Table.","Provider Specialty","char"
"dbo","cds_temp_apap_prad","prpr_name","CDS_TEMP_APAP_PRAD Temp Table.","Provider Name","char"
"dbo","cds_temp_apap_prad","prpr_npi","CDS_TEMP_APAP_PRAD Temp Table.","National Practitioner Identifier","char"
"dbo","cds_temp_apap_prad","prcp_id","CDS_TEMP_APAP_PRAD Temp Table.","Common Practitioner ID","char"
"dbo","cds_temp_apap_prad","prad_id","CDS_TEMP_APAP_PRAD Temp Table.","Provider Address ID","char"
"dbo","cds_temp_apap_prad","prad_type_prim","CDS_TEMP_APAP_PRAD Temp Table.","Provider Primary Address Type","char"
"dbo","cds_temp_apap_prad","prad_type_mail","CDS_TEMP_APAP_PRAD Temp Table.","Provider Address (Type) Corresponding Mailing Address","char"
"dbo","cds_temp_apap_prad","prad_type_check","CDS_TEMP_APAP_PRAD Temp Table.","Provider Remittance Address Type","char"
"dbo","cds_temp_apap_prad","prad_phone","CDS_TEMP_APAP_PRAD Temp Table.","Provider Address (Type) Phone Number","char"
"dbo","cds_temp_apap_prad","mctn_id","CDS_TEMP_APAP_PRAD Temp Table.","Provider Tax Identification Number for search and reporting purposes","char"
"dbo","cds_temp_apap_prad","prpr_sts","CDS_TEMP_APAP_PRAD Temp Table.","Provider Status","char"
"dbo","cds_temp_apap_prad","prpr_mctr_rev","CDS_TEMP_APAP_PRAD Temp Table.","Provider Review Type","char"
"dbo","cds_temp_apap_prad","prpr_preauth_ind","CDS_TEMP_APAP_PRAD Temp Table.","Provider Pre-authorization Indicator","char"
"dbo","cds_temp_apap_prad","prpr_pay_hold_dt","CDS_TEMP_APAP_PRAD Temp Table.","Provider Payment Hold Date","datetime"
"dbo","cds_temp_apap_prad","prpr_opts","CDS_TEMP_APAP_PRAD Temp Table.","Provider Options","char"
"dbo","cds_temp_apap_prad","prpr_cl_eft_ind","CDS_TEMP_APAP_PRAD Temp Table.","Provider Claims EFT Check Box","char"
"dbo","cds_temp_apap_prad","prpr_cap_eft_ind","CDS_TEMP_APAP_PRAD Temp Table.","Provider Capitation EFT Check Box","char"
"dbo","cds_temp_apap_prad","prpr_name_xlow","CDS_TEMP_APAP_PRAD Temp Table.","Provider Name Case Insensitivity Field","char"
"dbo","cds_temp_apap_prad","prpr_last_chan_dtm","CDS_TEMP_APAP_PRAD Temp Table.","Provider Last Channel Date","datetime"
"dbo","cds_temp_apap_prad","prpr_mctr_lang","CDS_TEMP_APAP_PRAD Temp Table.","Provider Language Indicator","char"
"dbo","cds_temp_apap_prad","prpr_extn_addr_ind","CDS_TEMP_APAP_PRAD Temp Table.","Provider External Address Indicator","char"
"dbo","cds_temp_apap_prad","mcbr_ck","CDS_TEMP_APAP_PRAD Temp Table.","Provider Bank Relationship contrived key","int"
"dbo","cds_temp_apap_prad","usus_id","CDS_TEMP_APAP_PRAD Temp Table.","User Identifier","char"
"dbo","cds_temp_apap_prad","crcy_id","CDS_TEMP_APAP_PRAD Temp Table.","Provider Capitation Cycle ID","char"
"dbo","cds_temp_apap_prad","prpr_lock_token","CDS_TEMP_APAP_PRAD Temp Table.","Lock Token","smallint"
"dbo","cds_temp_apap_prad","atxr_source_id","CDS_TEMP_APAP_PRAD Temp Table.","Attachment Source Id","datetime"
