"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_temp_coss_summ","row_id","CDS_TEMP_COSS_SUMM Temp Table.","Row Identifier","numeric"
"dbo","cds_temp_coss_summ","lobd_id_comm","CDS_TEMP_COSS_SUMM Temp Table.","Commission Line of Business ID","char"
"dbo","cds_temp_coss_summ","coce_id_payee","CDS_TEMP_COSS_SUMM Temp Table.","Commission Entity ID Payee","char"
"dbo","cds_temp_coss_summ","coss_seq_no","CDS_TEMP_COSS_SUMM Temp Table.","Sequence Number","int"
"dbo","cds_temp_coss_summ","coce_id","CDS_TEMP_COSS_SUMM Temp Table.","Commission Entity ID","char"
"dbo","cds_temp_coss_summ","coar_id","CDS_TEMP_COSS_SUMM Temp Table.","Arrangement ID","char"
"dbo","cds_temp_coss_summ","cocp_comm_per","CDS_TEMP_COSS_SUMM Temp Table.","Commission Period","smallint"
"dbo","cds_temp_coss_summ","coss_lvs","CDS_TEMP_COSS_SUMM Temp Table.","Lives","int"
"dbo","cds_temp_coss_summ","coss_per_bill_ctr","CDS_TEMP_COSS_SUMM Temp Table.","Bill Counter","smallint"
"dbo","cds_temp_coss_summ","coec_source_amt","CDS_TEMP_COSS_SUMM Temp Table.","Source Amount","money"
"dbo","cds_temp_coss_summ","coec_ovrd_amt","CDS_TEMP_COSS_SUMM Temp Table.","Override Amount","money"
"dbo","cds_temp_coss_summ","coec_comm_amt_earn","CDS_TEMP_COSS_SUMM Temp Table.","Commission Amount Earned","money"
"dbo","cds_temp_coss_summ","coec_comm_amt_paid","CDS_TEMP_COSS_SUMM Temp Table.","Commission Amount Paid","money"
"dbo","cds_temp_coss_summ","coec_adv_amt_earn","CDS_TEMP_COSS_SUMM Temp Table.","Advance Amount Earned","money"
"dbo","cds_temp_coss_summ","coec_retn_amt_earn","CDS_TEMP_COSS_SUMM Temp Table.","Net of Commission Amount Earned","money"
"dbo","cds_temp_coss_summ","coec_hld_for_recon","CDS_TEMP_COSS_SUMM Temp Table.","Hold For Reconciliation","money"
"dbo","cds_temp_coss_summ","coec_forgo_amt","CDS_TEMP_COSS_SUMM Temp Table.","Forgo Amount","money"
"dbo","cds_temp_coss_summ","coae_adv_ovpymt_wo","CDS_TEMP_COSS_SUMM Temp Table.","Advance Overpayment Written Off","money"
"dbo","cds_temp_coss_summ","coss_adv_amt","CDS_TEMP_COSS_SUMM Temp Table.","Advance Amount","money"
"dbo","cds_temp_coss_summ","coss_adv_amt_paid","CDS_TEMP_COSS_SUMM Temp Table.","Advance Amount Paid","money"
"dbo","cds_temp_coss_summ","coss_adj_amt_paid","CDS_TEMP_COSS_SUMM Temp Table.","Adjustment Amount Paid","money"
"dbo","cds_temp_coss_summ","coss_net_check_amt","CDS_TEMP_COSS_SUMM Temp Table.","Net Check Amount","money"
"dbo","cds_temp_coss_summ","syin_inst","CDS_TEMP_COSS_SUMM Temp Table.","System Instance","bigint"
