"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_temp_cust_cmp","cust_id","Temporary Decision Support Table","","timestamp"
"dbo","cds_temp_cust_cmp","cssb_id","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_cust_ind","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_subj_ind","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_recd_dt","Temporary Decision Support Table","","datetime"
"dbo","cds_temp_cust_cmp","csst_seq_no","Temporary Decision Support Table","","smallint"
"dbo","cds_temp_cust_cmp","cssb_mctr_subj","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_mctr_catg","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_mctr_prty","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_summary","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_comp_ind","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","cssb_usid_pri","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","csst_sts","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","csst_sts_dt","Temporary Decision Support Table","","datetime"
"dbo","cds_temp_cust_cmp","cspr_mctr_reas","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","prpr_id","Temporary Decision Support Table","Servicing Provider","char"
"dbo","cds_temp_cust_cmp","prpr_name","Temporary Decision Support Table","Provider Name","char"
"dbo","cds_temp_cust_cmp","prcf_mctr_spec","Temporary Decision Support Table","Provider Specialty","char"
"dbo","cds_temp_cust_cmp","prpr1_id","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","prpr1_name","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","prpr1_mctr_type","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","sbsb_id","Temporary Decision Support Table","Subscriber ID","char"
"dbo","cds_temp_cust_cmp","meme_sfx","Temporary Decision Support Table","Birth Date","smallint"
"dbo","cds_temp_cust_cmp","meme_last_name","Temporary Decision Support Table","Birth Date","char"
"dbo","cds_temp_cust_cmp","meme_first_name","Temporary Decision Support Table","Birth Date","char"
"dbo","cds_temp_cust_cmp","meme_mid_init","Temporary Decision Support Table","Birth Date","char"
"dbo","cds_temp_cust_cmp","grgr_id","Temporary Decision Support Table","Group Address Line 1","char"
"dbo","cds_temp_cust_cmp","grgr_name","Temporary Decision Support Table","Group Address Line 1","char"
"dbo","cds_temp_cust_cmp","sgsg_id","Temporary Decision Support Table","Subgroup ID","char"
"dbo","cds_temp_cust_cmp","sgsg_name","Temporary Decision Support Table","Subgroup Name","char"
"dbo","cds_temp_cust_cmp","mctr_subj_desc","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","mctr_catg_desc","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_cmp","mctr_prty_desc","Temporary Decision Support Table","","char"
