"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_temp_cust_svc","cssb_id","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","cssb_cust_ind","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","cssb_subj_ind","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","received_dt","Temporary Decision Support Table","","datetime"
"dbo","cds_temp_cust_svc","csst_seq_no","Temporary Decision Support Table","","smallint"
"dbo","cds_temp_cust_svc","subject","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","category","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","cssb_mctr_prty","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","cssb_summary","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","cssb_comp_ind","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","cssb_usid_pri","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","status","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","csst_sts_dt","Temporary Decision Support Table","","datetime"
"dbo","cds_temp_cust_svc","reason","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","provider_id","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","prpr_name","Temporary Decision Support Table","Provider Name","char"
"dbo","cds_temp_cust_svc","prcf_mctr_spec","Temporary Decision Support Table","Provider Specialty","char"
"dbo","cds_temp_cust_svc","prpr1_id","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","prpr1_name","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","prpr1_mctr_type","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","sbsb_id","Temporary Decision Support Table","Subscriber ID","char"
"dbo","cds_temp_cust_svc","meme_sfx","Temporary Decision Support Table","Birth Date","smallint"
"dbo","cds_temp_cust_svc","meme_last_name","Temporary Decision Support Table","Birth Date","char"
"dbo","cds_temp_cust_svc","meme_first_name","Temporary Decision Support Table","Birth Date","char"
"dbo","cds_temp_cust_svc","meme_mid_init","Temporary Decision Support Table","Birth Date","char"
"dbo","cds_temp_cust_svc","grgr_id","Temporary Decision Support Table","Group Address Line 1","char"
"dbo","cds_temp_cust_svc","grgr_name","Temporary Decision Support Table","Group Address Line 1","char"
"dbo","cds_temp_cust_svc","sgsg_id","Temporary Decision Support Table","Subgroup ID","char"
"dbo","cds_temp_cust_svc","sgsg_name","Temporary Decision Support Table","Subgroup Name","char"
"dbo","cds_temp_cust_svc","mctr_subj_desc","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","mctr_catg_desc","Temporary Decision Support Table","","char"
"dbo","cds_temp_cust_svc","mctr_prty_desc","Temporary Decision Support Table","","char"
