"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_temp_insb","insb_id","CDS_TEMP_INSB Temp Table.","","timestamp"
"dbo","cds_temp_insb","bliv_id","CDS_TEMP_INSB Temp Table.","Invoice Number","char"
"dbo","cds_temp_insb","blei_ck","CDS_TEMP_INSB Temp Table.","Billing Entity Contrived Key","int"
"dbo","cds_temp_insb","blbl_due_dt","CDS_TEMP_INSB Temp Table.","Billing Due Date","datetime"
"dbo","cds_temp_insb","cspi_id","CDS_TEMP_INSB Temp Table.","Class Plan Identifier","char"
"dbo","cds_temp_insb","pdpd_id","CDS_TEMP_INSB Temp Table.","Product Identifier","char"
"dbo","cds_temp_insb","pdbl_id","CDS_TEMP_INSB Temp Table.","Component ID","char"
"dbo","cds_temp_insb","blsb_cov_due_dt","CDS_TEMP_INSB Temp Table.","Coverage Due Date","datetime"
"dbo","cds_temp_insb","blsb_cov_from_dt","CDS_TEMP_INSB Temp Table.","Coverage From Date","datetime"
"dbo","cds_temp_insb","blsb_prem_type","CDS_TEMP_INSB Temp Table.","Premium Type","char"
"dbo","cds_temp_insb","sbsb_ck","CDS_TEMP_INSB Temp Table.","Subscriber Contrived Key","int"
"dbo","cds_temp_insb","meme_ck","CDS_TEMP_INSB Temp Table.","Member Contrived Key","int"
"dbo","cds_temp_insb","blsb_create_dtm","CDS_TEMP_INSB Temp Table.","Create Date","datetime"
