"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_temp_mmct_fill","mmct_elig_dt","CDS_TEMP_MMCT_FILL Temp Table.","Eligible As Of Date","datetime"
"dbo","cds_temp_mmct_fill","cspd_cat","CDS_TEMP_MMCT_FILL Temp Table.","Product Category","char"
"dbo","cds_temp_mmct_fill","prpr_id","CDS_TEMP_MMCT_FILL Temp Table.","Servicing Provider","char"
"dbo","cds_temp_mmct_fill","mepr_pcp_type","CDS_TEMP_MMCT_FILL Temp Table.","PCP Type","char"
"dbo","cds_temp_mmct_fill","mmct_type","CDS_TEMP_MMCT_FILL Temp Table.","Member Month Count Type","char"
"dbo","cds_temp_mmct_fill","grgr_ck","CDS_TEMP_MMCT_FILL Temp Table.","Group Address Line 1","int"
"dbo","cds_temp_mmct_fill","sgsg_ck","CDS_TEMP_MMCT_FILL Temp Table.","Subgroup Contrived Key","int"
"dbo","cds_temp_mmct_fill","cscs_id","CDS_TEMP_MMCT_FILL Temp Table.","Class Identifier","char"
"dbo","cds_temp_mmct_fill","cspi_id","CDS_TEMP_MMCT_FILL Temp Table.","Class Plan Identifier","char"
"dbo","cds_temp_mmct_fill","mmct_rel","CDS_TEMP_MMCT_FILL Temp Table.","Member Relation","char"
"dbo","cds_temp_mmct_fill","meme_sex","CDS_TEMP_MMCT_FILL Temp Table.","Birth Date","char"
"dbo","cds_temp_mmct_fill","mmct_from_age","CDS_TEMP_MMCT_FILL Temp Table.","Member From Age","int"
"dbo","cds_temp_mmct_fill","mmct_thru_age","CDS_TEMP_MMCT_FILL Temp Table.","Member Thru Age","int"
"dbo","cds_temp_mmct_fill","syin_inst","CDS_TEMP_MMCT_FILL Temp Table.","System Instance","bigint"
"dbo","cds_temp_mmct_fill","syin_create_dt_tm","CDS_TEMP_MMCT_FILL Temp Table.","System Create Date/Time Stamp","datetime"
"dbo","cds_temp_mmct_fill","mmct_members","CDS_TEMP_MMCT_FILL Temp Table.","Member Month Count","int"
"dbo","cds_temp_mmct_fill","grgr_id","CDS_TEMP_MMCT_FILL Temp Table.","Group Address Line 1","char"
"dbo","cds_temp_mmct_fill","grgr_name","CDS_TEMP_MMCT_FILL Temp Table.","Group Address Line 1","char"
"dbo","cds_temp_mmct_fill","sgsg_id","CDS_TEMP_MMCT_FILL Temp Table.","Subgroup ID","char"
"dbo","cds_temp_mmct_fill","sgsg_name","CDS_TEMP_MMCT_FILL Temp Table.","Subgroup Name","char"
"dbo","cds_temp_mmct_fill","cscs_desc","CDS_TEMP_MMCT_FILL Temp Table.","Class Description","char"
"dbo","cds_temp_mmct_fill","plds_desc","CDS_TEMP_MMCT_FILL Temp Table.","Plan Description","char"
"dbo","cds_temp_mmct_fill","pdpd_id","CDS_TEMP_MMCT_FILL Temp Table.","Product Identifier","char"
"dbo","cds_temp_mmct_fill","pdds_desc","CDS_TEMP_MMCT_FILL Temp Table.","Product Description","char"
"dbo","cds_temp_mmct_fill","lobd_id","CDS_TEMP_MMCT_FILL Temp Table.","Line Of Business ID","char"
"dbo","cds_temp_mmct_fill","lobd_name","CDS_TEMP_MMCT_FILL Temp Table.","Line of Business Name","char"
"dbo","cds_temp_mmct_fill","lobd_alt_risk_id","CDS_TEMP_MMCT_FILL Temp Table.","Alternate Line of Business","char"
"dbo","cds_temp_mmct_fill","prpr_name","CDS_TEMP_MMCT_FILL Temp Table.","Provider Name","char"
"dbo","cds_temp_mmct_fill","mcrl_meme_crel_cd","CDS_TEMP_MMCT_FILL Temp Table.","Relationship","char"
"dbo","cds_temp_mmct_fill","mcrl_crel_desc","CDS_TEMP_MMCT_FILL Temp Table.","N/A","varchar"
"dbo","cds_temp_mmct_fill","mmct_lock_token","CDS_TEMP_MMCT_FILL Temp Table.","Lock Token","smallint"
