"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_temp_mmct_indic","grgr_ck","CDS_TEMP_MMCT_INDIC Temp Table.","Group Address Line 1","int"
"dbo","cds_temp_mmct_indic","cscs_id","CDS_TEMP_MMCT_INDIC Temp Table.","Class Identifier","char"
"dbo","cds_temp_mmct_indic","cspd_cat","CDS_TEMP_MMCT_INDIC Temp Table.","Product Category","char"
"dbo","cds_temp_mmct_indic","cspi_id","CDS_TEMP_MMCT_INDIC Temp Table.","Class Plan Identifier","char"
"dbo","cds_temp_mmct_indic","pdpd_id","CDS_TEMP_MMCT_INDIC Temp Table.","Product Identifier","char"
"dbo","cds_temp_mmct_indic","from_dt","CDS_TEMP_MMCT_INDIC Temp Table.","","datetime"
"dbo","cds_temp_mmct_indic","sgsg_ck","CDS_TEMP_MMCT_INDIC Temp Table.","Subgroup Contrived Key","int"
"dbo","cds_temp_mmct_indic","thru_dt","CDS_TEMP_MMCT_INDIC Temp Table.","","datetime"
"dbo","cds_temp_mmct_indic","grgr_id","CDS_TEMP_MMCT_INDIC Temp Table.","Group Address Line 1","char"
"dbo","cds_temp_mmct_indic","grgr_name","CDS_TEMP_MMCT_INDIC Temp Table.","Group Address Line 1","char"
"dbo","cds_temp_mmct_indic","sgsg_id","CDS_TEMP_MMCT_INDIC Temp Table.","Subgroup ID","char"
"dbo","cds_temp_mmct_indic","sgsg_name","CDS_TEMP_MMCT_INDIC Temp Table.","Subgroup Name","char"
"dbo","cds_temp_mmct_indic","cscs_desc","CDS_TEMP_MMCT_INDIC Temp Table.","Class Description","char"
"dbo","cds_temp_mmct_indic","plds_desc","CDS_TEMP_MMCT_INDIC Temp Table.","Plan Description","char"
"dbo","cds_temp_mmct_indic","pdds_desc","CDS_TEMP_MMCT_INDIC Temp Table.","Product Description","char"
"dbo","cds_temp_mmct_indic","lobd_id","CDS_TEMP_MMCT_INDIC Temp Table.","Line Of Business ID","char"
"dbo","cds_temp_mmct_indic","lobd_name","CDS_TEMP_MMCT_INDIC Temp Table.","Line of Business Name","char"
"dbo","cds_temp_mmct_indic","lobd_alt_risk_id","CDS_TEMP_MMCT_INDIC Temp Table.","Alternate Line of Business","char"
