"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_trpr_tr_prepro","trpr_key_id","Transaction Reply Pre Processor Table","Preprocessor Key","char"
"dbo","cds_trpr_tr_prepro","pzap_app_id","Transaction Reply Pre Processor Table","Application ID","char"
"dbo","cds_trpr_tr_prepro","grgr_id","Transaction Reply Pre Processor Table","Group ID","char"
"dbo","cds_trpr_tr_prepro","sbsb_id","Transaction Reply Pre Processor Table","Subscriber ID","char"
"dbo","cds_trpr_tr_prepro","meme_sfx","Transaction Reply Pre Processor Table","Member Suffix","smallint"
"dbo","cds_trpr_tr_prepro","trpr_weight","Transaction Reply Pre Processor Table","Weight","int"
"dbo","cds_trpr_tr_prepro","trpr_row_id","Transaction Reply Pre Processor Table","Row Id","numeric"
"dbo","cds_trpr_tr_prepro","trpr_sts","Transaction Reply Pre Processor Table","Status","char"
"dbo","cds_trpr_tr_prepro","trpr_lock_token","Transaction Reply Pre Processor Table","Lock Token","smallint"
"dbo","cds_trpr_tr_prepro","atxr_source_id","Transaction Reply Pre Processor Table","Attachment Source Id","datetime"
