"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cds_txer_employer","grgr_ein","W2 Employer Information Table","Employer Identification Number","char"
"dbo","cds_txer_employer","grgr_ck","W2 Employer Information Table","Group Contrived Key","int"
"dbo","cds_txer_employer","pagr_ck","W2 Employer Information Table","Parent Group Contrived Key","int"
"dbo","cds_txer_employer","grgr_name","W2 Employer Information Table","Group Name","varchar"
"dbo","cds_txer_employer","grgr_addr1","W2 Employer Information Table","Group Address Line 1","varchar"
"dbo","cds_txer_employer","grgr_addr2","W2 Employer Information Table","Group Address Line 2","varchar"
"dbo","cds_txer_employer","grgr_addr3","W2 Employer Information Table","Group Address Line 3","varchar"
"dbo","cds_txer_employer","grgr_city","W2 Employer Information Table","City","varchar"
"dbo","cds_txer_employer","grgr_state","W2 Employer Information Table","State","char"
"dbo","cds_txer_employer","grgr_zip","W2 Employer Information Table","Zip Code","varchar"
"dbo","cds_txer_employer","grgr_phone","W2 Employer Information Table","Employer Phone","varchar"
"dbo","cds_txer_employer","grgr_phone_ext","W2 Employer Information Table","Employer Phone Extension","char"
"dbo","cds_txer_employer","grgr_fax","W2 Employer Information Table","Employer FAX number","varchar"
"dbo","cds_txer_employer","grgr_email","W2 Employer Information Table","Employer Email","varchar"
"dbo","cds_txer_employer","txer_rpt_addr_ind","W2 Employer Information Table","Reporting Address Indicator","char"
"dbo","cds_txer_employer","txer_addl_data","W2 Employer Information Table","Additional Data","varchar"
"dbo","cds_txer_employer","txer_lock_token","W2 Employer Information Table","Lock Token","smallint"
"dbo","cds_txer_employer","atxr_source_id","W2 Employer Information Table","Attachment Source Id","datetime"
