"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_apco_component","pzpz_id","Application Component Table","Product ID","char"
"dbo","cer_apco_component","pzap_app_id","Application Component Table","Component Application ID","char"
"dbo","cer_apco_component","syco_id","Application Component Table","Component ID","char"
"dbo","cer_apco_component","apco_type","Application Component Table","Product Component Type","char"
"dbo","cer_apco_component","apco_disp_label","Application Component Table","Application Component Display Label","char"
"dbo","cer_apco_component","apco_usage_id","Application Component Table","Usage ID","varchar"
"dbo","cer_apco_component","apco_context_id","Application Component Table","Context ID","varchar"
"dbo","cer_apco_component","apco_dest_path","Application Component Table","Destination Path","varchar"
"dbo","cer_apco_component","apco_dest_edit","Application Component Table","Destination Edit","char"
"dbo","cer_apco_component","apco_lock_token","Application Component Table","Lock Token","smallint"
"dbo","cer_apco_component","atxr_source_id","Application Component Table","Attachment Source Id","datetime"
