"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_apse_section","pzpz_id","Application Section","Product ID","char"
"dbo","cer_apse_section","pzap_app_id","Application Section","Application ID","char"
"dbo","cer_apse_section","mose_id","Application Section","","varchar"
"dbo","cer_apse_section","mose_id_parent","Application Section","","varchar"
"dbo","cer_apse_section","apse_usage_ind","Application Section","","char"
"dbo","cer_apse_section","apse_show_order","Application Section","","int"
"dbo","cer_apse_section","apse_lock_token","Application Section","Lock Token","smallint"
"dbo","cer_apse_section","sys_last_upd_dtm","Application Section","Last Update Datetime","datetime"
"dbo","cer_apse_section","sys_usus_id","Application Section","Last Update User ID","varchar"
"dbo","cer_apse_section","sys_dbuser_id","Application Section","Last Update DBMS User ID","varchar"
