"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_atad_address_d","atsy_id","Attachment Address Data","Address Style","char"
"dbo","cer_atad_address_d","atxr_dest_id","Attachment Address Data","Address Destination ID","datetime"
"dbo","cer_atad_address_d","atad_seq_no","Attachment Address Data","Address Sequence No.","smallint"
"dbo","cer_atad_address_d","atad_name","Attachment Address Data","Address Name","char"
"dbo","cer_atad_address_d","atad_addr1","Attachment Address Data","Address Line 1","char"
"dbo","cer_atad_address_d","atad_addr2","Attachment Address Data","Address Line 2","char"
"dbo","cer_atad_address_d","atad_addr3","Attachment Address Data","Address Line 3","char"
"dbo","cer_atad_address_d","atad_city","Attachment Address Data","Address City","char"
"dbo","cer_atad_address_d","atad_state","Attachment Address Data","Address State","char"
"dbo","cer_atad_address_d","atad_zip","Attachment Address Data","Address Zip Code","char"
"dbo","cer_atad_address_d","atad_county","Attachment Address Data","Address County","char"
"dbo","cer_atad_address_d","atad_ctry_cd","Attachment Address Data","Country","char"
"dbo","cer_atad_address_d","atad_phone","Attachment Address Data","Address Phone","char"
"dbo","cer_atad_address_d","atad_phone_ext","Attachment Address Data","Address Phone Ext.","char"
"dbo","cer_atad_address_d","atad_fax","Attachment Address Data","Address Fax","char"
"dbo","cer_atad_address_d","atad_fax_ext","Attachment Address Data","Address Fax Ext.","char"
"dbo","cer_atad_address_d","atad_email","Attachment Address Data","Email","char"
"dbo","cer_atad_address_d","atxr_attach_id","Attachment Address Data","Address Attachment ID","datetime"
"dbo","cer_atad_address_d","atad_lock_token","Attachment Address Data","Lock Token","smallint"
