"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_atuf_userfld_d","atsy_id","Attachment User Field Data","User Fields Style","char"
"dbo","cer_atuf_userfld_d","atxr_dest_id","Attachment User Field Data","User Fields Destination ID","datetime"
"dbo","cer_atuf_userfld_d","atuf_seq_no","Attachment User Field Data","User Fields Sequence No.","smallint"
"dbo","cer_atuf_userfld_d","atuf_text1","Attachment User Field Data","User Fields Text 1","char"
"dbo","cer_atuf_userfld_d","atuf_text2","Attachment User Field Data","User Fields Text 2","char"
"dbo","cer_atuf_userfld_d","atuf_text3","Attachment User Field Data","User Fields Text 3","char"
"dbo","cer_atuf_userfld_d","atuf_num1","Attachment User Field Data","User Fields Numeric 1","int"
"dbo","cer_atuf_userfld_d","atuf_num2","Attachment User Field Data","User Fields Numeric 2","int"
"dbo","cer_atuf_userfld_d","atuf_num3","Attachment User Field Data","User Fields Numeric 3","int"
"dbo","cer_atuf_userfld_d","atuf_money1","Attachment User Field Data","User Fields Money 1","money"
"dbo","cer_atuf_userfld_d","atuf_money2","Attachment User Field Data","User Fields Money 2","money"
"dbo","cer_atuf_userfld_d","atuf_money3","Attachment User Field Data","User Field Money 3","money"
"dbo","cer_atuf_userfld_d","atuf_date1","Attachment User Field Data","User Fields Date 1","datetime"
"dbo","cer_atuf_userfld_d","atuf_date2","Attachment User Field Data","User Fields Date 2","datetime"
"dbo","cer_atuf_userfld_d","atuf_date3","Attachment User Field Data","User Fields Date 3","datetime"
"dbo","cer_atuf_userfld_d","atuf_lock_token","Attachment User Field Data","Lock Token","smallint"
