"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_atxr_attach_u","atxr_source_id","Attachment Source Record and Destination Data Relationships","Attachment Source Id","datetime"
"dbo","cer_atxr_attach_u","atsy_id","Attachment Source Record and Destination Data Relationships","Attachment Style ID","char"
"dbo","cer_atxr_attach_u","atxr_dest_id","Attachment Source Record and Destination Data Relationships","Attachment Destination ID","datetime"
"dbo","cer_atxr_attach_u","attb_id","Attachment Source Record and Destination Data Relationships","Attachment Source Table ID","char"
"dbo","cer_atxr_attach_u","attb_type","Attachment Source Record and Destination Data Relationships","Attachment Source Table Type","char"
"dbo","cer_atxr_attach_u","atxr_desc","Attachment Source Record and Destination Data Relationships","Attachment Description","char"
"dbo","cer_atxr_attach_u","atxr_create_dt","Attachment Source Record and Destination Data Relationships","Attachment Create Date","datetime"
"dbo","cer_atxr_attach_u","atxr_create_usus","Attachment Source Record and Destination Data Relationships","Attachment Create User","char"
"dbo","cer_atxr_attach_u","atxr_last_upd_dt","Attachment Source Record and Destination Data Relationships","Attachment Update Date","datetime"
"dbo","cer_atxr_attach_u","atxr_last_upd_usus","Attachment Source Record and Destination Data Relationships","Attachment Update User","char"
"dbo","cer_atxr_attach_u","atxr_compiled_key","Attachment Source Record and Destination Data Relationships","Attachment Compiled Key","char"
"dbo","cer_atxr_attach_u","atxr_lock_token","Attachment Source Record and Destination Data Relationships","Lock Token","smallint"
