"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_bkey_contrive","bkey_id","Contrived Key Generation and Definition Table","Contrived Key Entity ID","char"
"dbo","cer_bkey_contrive","bkey_ck","Contrived Key Generation and Definition Table","Last Generated Contrived Key","bigint"
"dbo","cer_bkey_contrive","bkey_inc_value","Contrived Key Generation and Definition Table","Contrived Key Incremental Value","smallint"
"dbo","cer_bkey_contrive","bkey_pad_to_2k_a","Contrived Key Generation and Definition Table","Contrived Key Pad A","varchar"
"dbo","cer_bkey_contrive","bkey_pad_to_2k_b","Contrived Key Generation and Definition Table","Contrived Key Pad B","varchar"
"dbo","cer_bkey_contrive","bkey_pad_to_2k_c","Contrived Key Generation and Definition Table","Contrived Key Pad C","varchar"
"dbo","cer_bkey_contrive","bkey_pad_to_2k_d","Contrived Key Generation and Definition Table","Contrived Key Pad D","varchar"
"dbo","cer_bkey_contrive","bkey_pad_to_2k_e","Contrived Key Generation and Definition Table","Contrived Key Pad E","varchar"
"dbo","cer_bkey_contrive","bkey_pad_to_2k_f","Contrived Key Generation and Definition Table","Contrived Key Pad F","varchar"
"dbo","cer_bkey_contrive","bkey_pad_to_2k_g","Contrived Key Generation and Definition Table","Contrived Key Pad G","varchar"
"dbo","cer_bkey_contrive","bkey_lock_token","Contrived Key Generation and Definition Table","Lock Token","smallint"
