"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_brks_broker_stats","brks_row_id","Broker Statistics","Broker Stat. Row ID","numeric"
"dbo","cer_brks_broker_stats","brks_brkr_beg_dtm","Broker Statistics","Broker Transaction Begin Date-time","datetime"
"dbo","cer_brks_broker_stats","brks_brkr_end_dtm","Broker Statistics","Broker Transaction End Date-time","datetime"
"dbo","cer_brks_broker_stats","brks_app_beg_dtm","Broker Statistics","Broker Transaction. application begin date-time","datetime"
"dbo","cer_brks_broker_stats","brks_app_end_dtm","Broker Statistics","BrokerTransaction Application ending date-time","datetime"
"dbo","cer_brks_broker_stats","brks_region","Broker Statistics","Region","varchar"
"dbo","cer_brks_broker_stats","brks_app_server","Broker Statistics","server","varchar"
"dbo","cer_brks_broker_stats","extu_id","Broker Statistics","Broker Transaction External User ID","char"
"dbo","cer_brks_broker_stats","usus_id","Broker Statistics","User Identifier","char"
"dbo","cer_brks_broker_stats","brcf_id","Broker Statistics","Broker Transaction Configuration ID","varchar"
"dbo","cer_brks_broker_stats","brks_call_sys_name","Broker Statistics","Broker Transaction Calling System Name","varchar"
"dbo","cer_brks_broker_stats","brks_call_sys_tid","Broker Statistics","Broker Transaction Calling Sys. Transaction ID","varchar"
"dbo","cer_brks_broker_stats","sdsd_name","Broker Statistics","Broker Transaction Service Name","varchar"
"dbo","cer_brks_broker_stats","brks_prog_id","Broker Statistics","Broker Transaction Prog ID","varchar"
"dbo","cer_brks_broker_stats","pitm_ticket_no","Broker Statistics","Broker Transaction Ticket No.","char"
"dbo","cer_brks_broker_stats","brks_sys_return_code","Broker Statistics","Broker Transaction Status Code","int"
"dbo","cer_brks_broker_stats","brks_app_return_code","Broker Statistics","Broker Transaction App. Return Code","int"
"dbo","cer_brks_broker_stats","brks_beng_beg_dtm","Broker Statistics","Broker Engine Begin Datetime","datetime"
"dbo","cer_brks_broker_stats","brks_beng_end_dtm","Broker Statistics","Broker Engine End Datetime","datetime"
"dbo","cer_brks_broker_stats","brks_beng_pid","Broker Statistics","Broker Engine Process ID","varchar"
"dbo","cer_brks_broker_stats","brsd_pcs_mode_ind","Broker Statistics","Broker Service Process Mode","char"
"dbo","cer_brks_broker_stats","sdbd_binding","Broker Statistics","Broker Service Binding","char"
"dbo","cer_brks_broker_stats","brks_fend_source","Broker Statistics","Broker Source URL Request","varchar"
"dbo","cer_brks_broker_stats","brks_fend_beg_dtm","Broker Statistics","Broker Front End Start Process Time","datetime"
"dbo","cer_brks_broker_stats","brks_fend_end_dtm","Broker Statistics","Broker Front End End Process Time","datetime"
"dbo","cer_brks_broker_stats","brks_fend_req_size","Broker Statistics","Broker Request Payload Size","int"
"dbo","cer_brks_broker_stats","brks_fend_resp_size","Broker Statistics","Broker Response Payload Size","int"
"dbo","cer_brks_broker_stats","brks_fend_action","Broker Statistics","Broker HTTP Action (GET POST PUT DELETE)","varchar"
"dbo","cer_brks_broker_stats","brks_fend_route_info_nvl","Broker Statistics","URI route without replacements","varchar"
"dbo","cer_brks_broker_stats","brks_fend_cor_id_nvl","Broker Statistics","Transaction correlation ID","varchar"
"dbo","cer_brks_broker_stats","brks_fend_req_publish_beg_dtm","Broker Statistics","FrontEnd (Rest layer) Request Publish Begin datetime","datetime"
"dbo","cer_brks_broker_stats","brks_fend_req_publish_end_dtm","Broker Statistics","FrontEnd (Rest layer) Request Publish end datetime","datetime"
"dbo","cer_brks_broker_stats","brks_fend_rsp_consume_beg_dtm","Broker Statistics","FrontEnd (Rest layer) Response Consume Begin datetime","datetime"
"dbo","cer_brks_broker_stats","brks_fend_rsp_consume_end_dtm","Broker Statistics","FrontEnd (Rest layer) Response Consume End datetime","datetime"
"dbo","cer_brks_broker_stats","brks_mddl_req_arrival_dtm","Broker Statistics","RabbitMQ Request Arrival datetime","datetime"
"dbo","cer_brks_broker_stats","brks_mddl_rsp_arrival_dtm","Broker Statistics","RabbitMQ Response Arrival datetime","datetime"
"dbo","cer_brks_broker_stats","brks_brkr_req_arrival_dtm","Broker Statistics","BrokerEngine Request Arrival Datetime","datetime"
"dbo","cer_brks_broker_stats","brks_brkr_rsp_push_beg_dtm","Broker Statistics","BrokerEngine Response Push Begin datetime","datetime"
