"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_brsd_svc_rel","brcf_id","Broker Services Relationships","Broker Configuration ID","varchar"
"dbo","cer_brsd_svc_rel","sdsd_name","Broker Services Relationships","Service Name","varchar"
"dbo","cer_brsd_svc_rel","pzpz_id","Broker Services Relationships","Product ID","char"
"dbo","cer_brsd_svc_rel","pzap_app_id","Broker Services Relationships","Application ID","char"
"dbo","cer_brsd_svc_rel","brsd_resp_stats","Broker Services Relationships","Service Resp. Stats","char"
"dbo","cer_brsd_svc_rel","brsd_rec_stats","Broker Services Relationships","Record Stats Indicator","char"
"dbo","cer_brsd_svc_rel","brsd_db_cptr_ind","Broker Services Relationships","Database Capture Ind.","char"
"dbo","cer_brsd_svc_rel","brsd_xml_cptr_ind","Broker Services Relationships","XML Capture Indicator","char"
"dbo","cer_brsd_svc_rel","brsd_pcs_mode_ind","Broker Services Relationships","Broker Service Process Mode Indicator","char"
"dbo","cer_brsd_svc_rel","brsd_lock_token","Broker Services Relationships","Lock Token","smallint"
"dbo","cer_brsd_svc_rel","atxr_source_id","Broker Services Relationships","Attachment Source Id","datetime"
