"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_conv_stats","conv_table_name","Conversion Statistics","Update Table Name","varchar"
"dbo","cer_conv_stats","conv_iteration_no","Conversion Statistics","Upgrade Iteration Number","smallint"
"dbo","cer_conv_stats","conv_status","Conversion Statistics","Upgrade Process Status","char"
"dbo","cer_conv_stats","conv_name","Conversion Statistics","Upgrade Name","varchar"
"dbo","cer_conv_stats","conv_start_time","Conversion Statistics","Upgrade Start Time","datetime"
"dbo","cer_conv_stats","conv_end_time","Conversion Statistics","Upgrade End Time","datetime"
"dbo","cer_conv_stats","conv_start_row_cnt","Conversion Statistics","Upgrade row count","int"
"dbo","cer_conv_stats","conv_end_row_cnt","Conversion Statistics","Upgrade table end row count","int"
"dbo","cer_conv_stats","conv_user","Conversion Statistics","Upgrade User","varchar"
"dbo","cer_conv_stats","conv_depend_before","Conversion Statistics","Upgrade Dependency Before","varchar"
"dbo","cer_conv_stats","conv_depend_after","Conversion Statistics","Upgrade Dependency After","varchar"
"dbo","cer_conv_stats","conv_schema_name","Conversion Statistics","Upgrade Database Schema Name","varchar"
