"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_dbrp_report","dbrp_object_owner","Database Objects Report File","Report Object Owner","char"
"dbo","cer_dbrp_report","dbrp_object_name","Database Objects Report File","Report Object Name","char"
"dbo","cer_dbrp_report","dbrp_object_type","Database Objects Report File","Report Object Type","char"
"dbo","cer_dbrp_report","dbob_object_table","Database Objects Report File","Report Index Object Table","char"
"dbo","cer_dbrp_report","dbrp_reason","Database Objects Report File","Report Reason","char"
"dbo","cer_dbrp_report","dbrp_action","Database Objects Report File","Report Action","char"
"dbo","cer_dbrp_report","dbrp_object_ind","Database Objects Report File","Report Object Indicator","char"
"dbo","cer_dbrp_report","dbrp_system","Database Objects Report File","Report Object System","char"
"dbo","cer_dbrp_report","dbrp_comment","Database Objects Report File","Report Comment","char"
"dbo","cer_dbrp_report","dbrp_lock_token","Database Objects Report File","Lock Token","smallint"
