"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_ddco_column","ddta_table_name","Data Dictionary Column table. ","Table Name","varchar"
"dbo","cer_ddco_column","relu_release_number","Data Dictionary Column table. ","Release Number","varchar"
"dbo","cer_ddco_column","ddta_database_cd","Data Dictionary Column table. ","Database Code","varchar"
"dbo","cer_ddco_column","ddta_user","Data Dictionary Column table. ","Schema ID","varchar"
"dbo","cer_ddco_column","ddco_column_name","Data Dictionary Column table. ","Column Name","varchar"
"dbo","cer_ddco_column","ddco_action_cd","Data Dictionary Column table. ","Action Code","char"
"dbo","cer_ddco_column","ddco_logical_name","Data Dictionary Column table. ","Logical Column Name","varchar"
"dbo","cer_ddco_column","ddco_description","Data Dictionary Column table. ","Column Description","varchar"
"dbo","cer_ddco_column","ddco_data_type","Data Dictionary Column table. ","Data Type","varchar"
"dbo","cer_ddco_column","ddco_precision","Data Dictionary Column table. ","Precision","smallint"
"dbo","cer_ddco_column","ddco_scale","Data Dictionary Column table. ","Scale","smallint"
"dbo","cer_ddco_column","ddco_length","Data Dictionary Column table. ","Column Length","smallint"
"dbo","cer_ddco_column","ddco_position","Data Dictionary Column table. ","Column Position","smallint"
"dbo","cer_ddco_column","ddco_nullable","Data Dictionary Column table. ","NULL value indicator","char"
"dbo","cer_ddco_column","ddco_primary_key","Data Dictionary Column table. ","Primary Key indicator","char"
"dbo","cer_ddco_column","ddco_pk_position","Data Dictionary Column table. ","Primary Key position","smallint"
"dbo","cer_ddco_column","ddco_change_desc","Data Dictionary Column table. ","Change Description","varchar"
"dbo","cer_ddco_column","ddco_create_dtm","Data Dictionary Column table. ","Create Date","datetime"
"dbo","cer_ddco_column","ddco_last_upd_dtm","Data Dictionary Column table. ","Last Update Date","datetime"
"dbo","cer_ddco_column","ddco_lst_usus_id","Data Dictionary Column table. ","User ID","varchar"
