"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_keyg_keygen","keyg_id","Autonumbering Generation and Definition Table","Autonumbering ID","char"
"dbo","cer_keyg_keygen","usus_id","Autonumbering Generation and Definition Table","User Identifier","char"
"dbo","cer_keyg_keygen","keyg_desc","Autonumbering Generation and Definition Table","Autonumbering Description","char"
"dbo","cer_keyg_keygen","keyg_date_style","Autonumbering Generation and Definition Table","Autonumbering Date Style","char"
"dbo","cer_keyg_keygen","keyg_gen_len","Autonumbering Generation and Definition Table","Autonumbering Key Length","smallint"
"dbo","cer_keyg_keygen","keyg_usus_token","Autonumbering Generation and Definition Table","Autonumbering ID Token","char"
"dbo","cer_keyg_keygen","keyg_last_gen_dt","Autonumbering Generation and Definition Table","Autonumbering Last Gen. Date","datetime"
"dbo","cer_keyg_keygen","keyg_reset_num","Autonumbering Generation and Definition Table","Autonumbering Reset Value","int"
"dbo","cer_keyg_keygen","keyg_last_gen_num","Autonumbering Generation and Definition Table","Autonumber Last Number Generated","varchar"
"dbo","cer_keyg_keygen","keyg_parsed_key","Autonumbering Generation and Definition Table","Autonumbering Parsed Key","char"
"dbo","cer_keyg_keygen","keyg_gen_order","Autonumbering Generation and Definition Table","Key Order","char"
"dbo","cer_keyg_keygen","keyg_alpha_seq","Autonumbering Generation and Definition Table","Number of Sequenced Alpha","smallint"
"dbo","cer_keyg_keygen","keyg_pad_to_2k_a","Autonumbering Generation and Definition Table","Autonumbering Pad A","varchar"
"dbo","cer_keyg_keygen","keyg_pad_to_2k_b","Autonumbering Generation and Definition Table","Autonumbering Pad B","varchar"
"dbo","cer_keyg_keygen","keyg_pad_to_2k_c","Autonumbering Generation and Definition Table","Autonumbering Pad C","varchar"
"dbo","cer_keyg_keygen","keyg_pad_to_2k_d","Autonumbering Generation and Definition Table","Autonumbering Pad D","varchar"
"dbo","cer_keyg_keygen","keyg_pad_to_2k_e","Autonumbering Generation and Definition Table","Autonumbering Pad E","varchar"
"dbo","cer_keyg_keygen","keyg_pad_to_2k_f","Autonumbering Generation and Definition Table","Autonumbering Pad F","varchar"
"dbo","cer_keyg_keygen","keyg_pad_to_2k_g","Autonumbering Generation and Definition Table","Autonumbering Pad G","varchar"
"dbo","cer_keyg_keygen","keyg_lock_token","Autonumbering Generation and Definition Table","Lock Token","smallint"
