"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_lglg_log_d","lglg_id","Facets/Facts Interface Activity","Log ID","timestamp"
"dbo","cer_lglg_log_d","tbtb_id","Facets/Facts Interface Activity","Log Facets Table ID","char"
"dbo","cer_lglg_log_d","tbtb_id_fa_parent","Facets/Facts Interface Activity","Log Facets Parent Table ID","char"
"dbo","cer_lglg_log_d","tbtb_id_cf_parent","Facets/Facts Interface Activity","Log ClaimFacts Table ID","char"
"dbo","cer_lglg_log_d","lglg_func","Facets/Facts Interface Activity","Log Function","char"
"dbo","cer_lglg_log_d","lglg_image","Facets/Facts Interface Activity","Log Image Indicator","char"
"dbo","cer_lglg_log_d","lglg_create_dt","Facets/Facts Interface Activity","Log Create Date","datetime"
"dbo","cer_lglg_log_d","lglg_create_usus","Facets/Facts Interface Activity","Log Create User","char"
"dbo","cer_lglg_log_d","lglg_compiled_key","Facets/Facts Interface Activity","Log Facets Physical Record ID","char"
"dbo","cer_lglg_log_d","lglg_data1","Facets/Facts Interface Activity","Log Data String 1","varchar"
"dbo","cer_lglg_log_d","lglg_data2","Facets/Facts Interface Activity","Log Data String 2","varchar"
"dbo","cer_lglg_log_d","lglg_data3","Facets/Facts Interface Activity","Log Data String 3","varchar"
"dbo","cer_lglg_log_d","lglg_data4","Facets/Facts Interface Activity","Log Data String 4","varchar"
"dbo","cer_lglg_log_d","lglg_data5","Facets/Facts Interface Activity","Log Data String 5","varchar"
"dbo","cer_lglg_log_d","lglg_data6","Facets/Facts Interface Activity","Log Data String 6","varchar"
"dbo","cer_lglg_log_d","lglg_data7","Facets/Facts Interface Activity","Log Data String 7","varchar"
