"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_lgum_lg_unmask","lgum_row_id","Unmasking Log","Unmasking Log Row ID","numeric"
"dbo","cer_lgum_lg_unmask","lgum_event_dtm","Unmasking Log","Unmasking event date-time","datetime"
"dbo","cer_lgum_lg_unmask","syin_inst","Unmasking Log","System Instance ID","bigint"
"dbo","cer_lgum_lg_unmask","usus_id","Unmasking Log","User Identifier","char"
"dbo","cer_lgum_lg_unmask","pzap_id","Unmasking Log","Facets application ID","char"
"dbo","cer_lgum_lg_unmask","lgum_entity_type","Unmasking Log","Unmasking Log Entity","varchar"
"dbo","cer_lgum_lg_unmask","lgum_source_type","Unmasking Log","Unmasking data source type.","varchar"
"dbo","cer_lgum_lg_unmask","lgum_source_name","Unmasking Log","Unmasking Data Source Name","varchar"
"dbo","cer_lgum_lg_unmask","lgum_data_type","Unmasking Log","Unmasking Data Type","char"
"dbo","cer_lgum_lg_unmask","lgum_data_id","Unmasking Log","Unmasking Data ID","varchar"
"dbo","cer_lgum_lg_unmask","lgum_data_value","Unmasking Log","Unmasking Data Value","varchar"
"dbo","cer_lgum_lg_unmask","lgum_source_ck","Unmasking Log","Unmasking Data Source Contrived Key","int"
"dbo","cer_lgum_lg_unmask","lgum_source_id","Unmasking Log","Unmasking Data Source ID KEY","varchar"
"dbo","cer_lgum_lg_unmask","lgum_source_seq_no","Unmasking Log","Unmasking Data Source Sequence Number Key","int"
"dbo","cer_lgum_lg_unmask","lgum_source_id_typ","Unmasking Log","Unmasking Data Source ID Type Key","varchar"
"dbo","cer_lgum_lg_unmask","lgum_source_eff_dt","Unmasking Log","Unmasking Data Source Effective Date Key","datetime"
