"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_maxc_max_column","maxc_table","Max Column table.","Table Name","varchar"
"dbo","cer_maxc_max_column","maxc_type","Max Column table.","Column Type","varchar"
"dbo","cer_maxc_max_column","maxc_owner","Max Column table.","Schema owner","varchar"
"dbo","cer_maxc_max_column","maxc_database","Max Column table.","Database Name","varchar"
"dbo","cer_maxc_max_column","maxc_run_dtm","Max Column table.","Run Date","datetime"
"dbo","cer_maxc_max_column","maxc_column_name","Max Column table.","Schema Owner","varchar"
"dbo","cer_maxc_max_column","maxc_curr_value","Max Column table.","Current Value","numeric"
"dbo","cer_maxc_max_column","maxc_max_value","Max Column table.","Max Value","numeric"
"dbo","cer_maxc_max_column","maxc_remaining_value","Max Column table.","Remaining Value","numeric"
"dbo","cer_maxc_max_column","maxc_percent_used","Max Column table.","Percent Used","numeric"
"dbo","cer_maxc_max_column","maxc_percent_remaining","Max Column table.","Percent Remaining","numeric"
