"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_mczt_zip_trans","mczt_zip_code","U.S. ZIP Code Translation Data","Zip Code","char"
"dbo","cer_mczt_zip_trans","mczt_update_key_no","U.S. ZIP Code Translation Data","Zip Translation Update Key No.","char"
"dbo","cer_mczt_zip_trans","mczt_action_code","U.S. ZIP Code Translation Data","Zip Translation Action Code","char"
"dbo","cer_mczt_zip_trans","mczt_rec_type","U.S. ZIP Code Translation Data","Zip Translation Record Type","char"
"dbo","cer_mczt_zip_trans","mczt_finance_no","U.S. ZIP Code Translation Data","Zip Translation Finance No.","char"
"dbo","cer_mczt_zip_trans","mczt_last_line_no","U.S. ZIP Code Translation Data","Zip Translation Last Line","char"
"dbo","cer_mczt_zip_trans","mczt_state_abbrev","U.S. ZIP Code Translation Data","Zip Translation State Abbrev.","char"
"dbo","cer_mczt_zip_trans","mczt_city_name","U.S. ZIP Code Translation Data","Zip Translation City","char"
"dbo","cer_mczt_zip_trans","mczt_city_abbrev","U.S. ZIP Code Translation Data","Zip Translation City Abbrev.","char"
"dbo","cer_mczt_zip_trans","mczt_last_ln_name","U.S. ZIP Code Translation Data","Zip Translation Last Line Name","char"
"dbo","cer_mczt_zip_trans","mczt_county_no","U.S. ZIP Code Translation Data","Zip Translation County No.","char"
"dbo","cer_mczt_zip_trans","mczt_county_name","U.S. ZIP Code Translation Data","Zip Translation County Name","char"
"dbo","cer_mczt_zip_trans","mczt_facility_code","U.S. ZIP Code Translation Data","Zip Translation Facility Code","char"
"dbo","cer_mczt_zip_trans","mczt_lock_token","U.S. ZIP Code Translation Data","Lock Token","smallint"
