"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_mtat_active_threads","mtmc_id","Detailed information around the threading activity during runtime","Multi-thread conversion identifier","int"
"dbo","cer_mtat_active_threads","mtat_thread_id","Detailed information around the threading activity during runtime","Active thread Identifier","varchar"
"dbo","cer_mtat_active_threads","mtat_start_id","Detailed information around the threading activity during runtime","Start row range","int"
"dbo","cer_mtat_active_threads","mtat_end_id","Detailed information around the threading activity during runtime","end row range","int"
"dbo","cer_mtat_active_threads","mtat_status","Detailed information around the threading activity during runtime","Status","varchar"
"dbo","cer_mtat_active_threads","mtat_completion_status","Detailed information around the threading activity during runtime","Completion Status","varchar"
"dbo","cer_mtat_active_threads","mtat_thread_type","Detailed information around the threading activity during runtime","Thread Type","varchar"
"dbo","cer_mtat_active_threads","mtat_table_name","Detailed information around the threading activity during runtime","Table Name","varchar"
"dbo","cer_mtat_active_threads","mtat_parent_thread_id","Detailed information around the threading activity during runtime","Parent thread Identifier","varchar"
"dbo","cer_mtat_active_threads","mtat_deadlock_count","Detailed information around the threading activity during runtime","Deadlock count","int"
"dbo","cer_mtat_active_threads","mtat_last_upd_dtm","Detailed information around the threading activity during runtime","Last Update datetime","datetime"
"dbo","cer_mtat_active_threads","mtat_last_upd_user","Detailed information around the threading activity during runtime","Last update user id","varchar"
