"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_mttd_thread_def","mttd_id","Thread allocation definition table","Row Identifier","int"
"dbo","cer_mttd_thread_def","mtmc_id","Thread allocation definition table","Multi-thread conversion identifier","int"
"dbo","cer_mttd_thread_def","mttd_number_of_threads","Thread allocation definition table","Number of Threads","int"
"dbo","cer_mttd_thread_def","mttd_rows_per_thread","Thread allocation definition table","Number of rows per thread","int"
"dbo","cer_mttd_thread_def","mttd_begin_range_dtm","Thread allocation definition table","Start Datetime for the threads scheduler","time"
"dbo","cer_mttd_thread_def","mttd_end_range_dtm","Thread allocation definition table","End Datetime for threads scheduler","time"
"dbo","cer_mttd_thread_def","mttd_target_day","Thread allocation definition table","Target datetime for threads scheduler","datetime"
"dbo","cer_mttd_thread_def","mttd_date_type","Thread allocation definition table","Datetype for threads scheduler","varchar"
"dbo","cer_mttd_thread_def","mttd_last_upd_dtm","Thread allocation definition table","Last Update datetime","datetime"
"dbo","cer_mttd_thread_def","mttd_last_upd_user","Thread allocation definition table","Last update user id","varchar"
