"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_pbgr_pub_group","pbgr_publisher","","","varchar"
"dbo","cer_pbgr_pub_group","grgr_ck","","Group Address Line 1","int"
"dbo","cer_pbgr_pub_group","pbgr_entity_name","","","varchar"
"dbo","cer_pbgr_pub_group","pbgr_sub_entity_name","","","varchar"
"dbo","cer_pbgr_pub_group","pbgr_enabled","","","char"
"dbo","cer_pbgr_pub_group","pbgr_idl_run","","","int"
"dbo","cer_pbgr_pub_group","pbgr_lock_token","","Lock Token","smallint"
"dbo","cer_pbgr_pub_group","sys_last_upd_dtm","","Last Update Datetime","datetime"
"dbo","cer_pbgr_pub_group","sys_usus_id","","Last Update User ID","varchar"
"dbo","cer_pbgr_pub_group","sys_dbuser_id","","Last Update DBMS User ID","varchar"
