"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_purh_run_history","purh_row_id","Archive Purge Run History table","Identity Row","numeric"
"dbo","cer_purh_run_history","putt_type","Archive Purge Run History table","Application ID","char"
"dbo","cer_purh_run_history","purh_step_id","Archive Purge Run History table","Step ID","int"
"dbo","cer_purh_run_history","purh_total_count","Archive Purge Run History table","Record Count","int"
"dbo","cer_purh_run_history","purh_batch_size","Archive Purge Run History table","Batch Size","int"
"dbo","cer_purh_run_history","purh_queue_count","Archive Purge Run History table","Queue Count","int"
"dbo","cer_purh_run_history","purh_engine_count","Archive Purge Run History table","Engine Count","int"
"dbo","cer_purh_run_history","purh_start_dtm","Archive Purge Run History table","Start Time","datetime"
"dbo","cer_purh_run_history","purh_end_dtm","Archive Purge Run History table","End Time","datetime"
"dbo","cer_purh_run_history","purh_status","Archive Purge Run History table","Purge Status","char"
"dbo","cer_purh_run_history","purh_params","Archive Purge Run History table","Purge Parameter","varchar"
"dbo","cer_purh_run_history","purh_parent_id","Archive Purge Run History table","Parent Row ID","numeric"
