"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_pzap_app","pzpz_id","Facets Application Definition","Application Product ID","char"
"dbo","cer_pzap_app","pzap_app_id","Facets Application Definition","Product Application ID","char"
"dbo","cer_pzap_app","apmd_id","Facets Application Definition","Application Module ID","char"
"dbo","cer_pzap_app","pzap_icon","Facets Application Definition","Application Icon","char"
"dbo","cer_pzap_app","pzap_disp_label","Facets Application Definition","Application Display Name","char"
"dbo","cer_pzap_app","pzap_desc","Facets Application Definition","Application Description","char"
"dbo","cer_pzap_app","pzap_menu_text","Facets Application Definition","Application Extension Menu","char"
"dbo","cer_pzap_app","pzap_audit_ind","Facets Application Definition","Application Audit Indicator","char"
"dbo","cer_pzap_app","pzap_max_engines","Facets Application Definition","Maximum Batch Engines","int"
"dbo","cer_pzap_app","pzap_work_flow_ind","Facets Application Definition","Application Workflow Indicator","char"
"dbo","cer_pzap_app","pzap_lock_token","Facets Application Definition","Lock Token","smallint"
"dbo","cer_pzap_app","pzap_browser_ind","Facets Application Definition","Application Browser Indicator","char"
