"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_pzax_exit","pzpz_id","Application Extension Definitions","Exit Product ID","char"
"dbo","cer_pzax_exit","pzap_app_id","Application Extension Definitions","Exit Source Application ID","char"
"dbo","cer_pzax_exit","pzax_exit_type","Application Extension Definitions","Exit Type","char"
"dbo","cer_pzax_exit","pzax_exit_timing","Application Extension Definitions","Exit Timing","char"
"dbo","cer_pzax_exit","pzax_exit_seq_no","Application Extension Definitions","Exit Sequence Number","smallint"
"dbo","cer_pzax_exit","pzam_id","Application Extension Definitions","Exit Macro ID","char"
"dbo","cer_pzax_exit","pzap_app_id_exit","Application Extension Definitions","Exit Target Application ID","char"
"dbo","cer_pzax_exit","apmd_id","Application Extension Definitions","Exit Module ID","char"
"dbo","cer_pzax_exit","pzax_menu_text","Application Extension Definitions","Exit Menu Choice Text","char"
"dbo","cer_pzax_exit","pzax_lock_token","Application Extension Definitions","Lock Token","smallint"
