"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_pzne_nav_ent","pzpz_id","","Product ID","char"
"dbo","cer_pzne_nav_ent","pzmn_menu_id","","Menu ID","char"
"dbo","cer_pzne_nav_ent","pzng_nav_grp_id","","Navigation Group Identifier","varchar"
"dbo","cer_pzne_nav_ent","pzne_entry_id","","Navigation Entry ID","varchar"
"dbo","cer_pzne_nav_ent","pzne_type","","Navigation Entry Type","char"
"dbo","cer_pzne_nav_ent","pzne_disp_ord","","Navigation Entry Display Order","smallint"
"dbo","cer_pzne_nav_ent","pzne_lock_token","","Lock Token","smallint"
"dbo","cer_pzne_nav_ent","sys_last_upd_dtm","","Last Update Datetime","datetime"
"dbo","cer_pzne_nav_ent","sys_usus_id","","Last Update User ID","varchar"
"dbo","cer_pzne_nav_ent","sys_dbuser_id","","Last Update DBMS User ID","varchar"
