"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_pzng_nav_grp","pzpz_id","","Product ID","char"
"dbo","cer_pzng_nav_grp","pzmn_menu_id","","Menu ID","char"
"dbo","cer_pzng_nav_grp","pzng_nav_grp_id","","Navigation Group Identifier","varchar"
"dbo","cer_pzng_nav_grp","pzng_disp_label","","Navigation Group Display Label","varchar"
"dbo","cer_pzng_nav_grp","pzng_desc","","Navigation Group Description","varchar"
"dbo","cer_pzng_nav_grp","pzng_top_lvl_ind","","Navigation Group Top Level Indicator","char"
"dbo","cer_pzng_nav_grp","pzng_top_lvl_ord","","Navigation Group Top Level order","smallint"
"dbo","cer_pzng_nav_grp","pzng_lock_token","","Lock Token","smallint"
"dbo","cer_pzng_nav_grp","sys_last_upd_dtm","","Last Update Datetime","datetime"
"dbo","cer_pzng_nav_grp","sys_usus_id","","Last Update User ID","varchar"
"dbo","cer_pzng_nav_grp","sys_dbuser_id","","Last Update DBMS User ID","varchar"
