"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_pzuf_favorites","pzpz_id","Product User Favorites","Product ID","char"
"dbo","cer_pzuf_favorites","usus_id","Product User Favorites","User Identifier","char"
"dbo","cer_pzuf_favorites","pzmg_menu_grp_id","Product User Favorites","Menu Group ID","char"
"dbo","cer_pzuf_favorites","pzap_app_id","Product User Favorites","Application ID","char"
"dbo","cer_pzuf_favorites","pzuf_disp_seq_no","Product User Favorites","Display Sequence","smallint"
"dbo","cer_pzuf_favorites","pzuf_lock_token","Product User Favorites","Lock Token","smallint"
"dbo","cer_pzuf_favorites","sys_last_upd_dtm","Product User Favorites","Last Update Datetime","datetime"
"dbo","cer_pzuf_favorites","sys_usus_id","Product User Favorites","Last Update User ID","varchar"
"dbo","cer_pzuf_favorites","sys_dbuser_id","Product User Favorites","Last Update DBMS User ID","varchar"
"dbo","cer_pzuf_favorites","pzuf_browser_ind","Product User Favorites","","char"
