"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_pzuu_prouser_u","pzpz_id","Product/User Relationship and Security Information","Product ID","char"
"dbo","cer_pzuu_prouser_u","usus_id","Product/User Relationship and Security Information","User Identifier","char"
"dbo","cer_pzuu_prouser_u","pzuu_sec_lvl","Product/User Relationship and Security Information","Security Level","char"
"dbo","cer_pzuu_prouser_u","pzuu_allowed","Product/User Relationship and Security Information","Security Access","char"
"dbo","cer_pzuu_prouser_u","pzuu_last_upd_dt","Product/User Relationship and Security Information","Last Update Date","datetime"
"dbo","cer_pzuu_prouser_u","pzuu_last_upd_usus","Product/User Relationship and Security Information","Last Update User","char"
"dbo","cer_pzuu_prouser_u","pzmn_menu_id","Product/User Relationship and Security Information","Menu","char"
"dbo","cer_pzuu_prouser_u","pzuu_time_out","Product/User Relationship and Security Information","Automatic Logoff Time Out Interval","smallint"
"dbo","cer_pzuu_prouser_u","atxr_source_id","Product/User Relationship and Security Information","Attachment Source Id","datetime"
"dbo","cer_pzuu_prouser_u","pzuu_lock_token","Product/User Relationship and Security Information","Lock Token","smallint"
