"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_qwk0_work_que","qwk0_row_id","Multi Engine Work Queue Table","Work Queue Row ID","numeric"
"dbo","cer_qwk0_work_que","pzpz_id","Multi Engine Work Queue Table","Product ID","char"
"dbo","cer_qwk0_work_que","pzap_app_id","Multi Engine Work Queue Table","Application ID","char"
"dbo","cer_qwk0_work_que","qwk0_create_dtm","Multi Engine Work Queue Table","Work Row Create Date/Time","datetime"
"dbo","cer_qwk0_work_que","qwk0_create_syin","Multi Engine Work Queue Table","Work Queue Row Syin Instance","bigint"
"dbo","cer_qwk0_work_que","qwk0_sts","Multi Engine Work Queue Table","Work Queue Row Status","smallint"
"dbo","cer_qwk0_work_que","qwk0_est_dur_sec","Multi Engine Work Queue Table","Estimated Duration in Seconds","int"
"dbo","cer_qwk0_work_que","qwk0_est_proc_rows","Multi Engine Work Queue Table","Estimated number of Rows processed","int"
"dbo","cer_qwk0_work_que","qwk0_est_proc_unit","Multi Engine Work Queue Table","Estimated number of units processed","int"
"dbo","cer_qwk0_work_que","qwk0_work_spid","Multi Engine Work Queue Table","Sybase Process ID","smallint"
"dbo","cer_qwk0_work_que","qwk0_wrk_syin_inst","Multi Engine Work Queue Table","System Instance for this work Row","bigint"
"dbo","cer_qwk0_work_que","qwk0_wrk_start_dtm","Multi Engine Work Queue Table","Start Date/Time","datetime"
"dbo","cer_qwk0_work_que","qwk0_wrk_end_dtm","Multi Engine Work Queue Table","End Date/Time","datetime"
"dbo","cer_qwk0_work_que","qwk0_from_gen_tkey","Multi Engine Work Queue Table","From Character Key","char"
"dbo","cer_qwk0_work_que","qwk0_from_gen_ckey","Multi Engine Work Queue Table","From Contrived Key","int"
"dbo","cer_qwk0_work_que","qwk0_to_gen_tkey","Multi Engine Work Queue Table","To Character Key","char"
"dbo","cer_qwk0_work_que","qwk0_to_gen_ckey","Multi Engine Work Queue Table","To Contrived Key","int"
"dbo","cer_qwk0_work_que","qwk0_mutex_ind","Multi Engine Work Queue Table","Mutual Exclusion Indicator","smallint"
