"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_sdat_stat_data","stin_aid","Statistics Data Table","Statistical Instance Activity ID","char"
"dbo","cer_sdat_stat_data","sdat_seq_no","Statistics Data Table","Statistical Detail Sequence Number","int"
"dbo","cer_sdat_stat_data","sdat_name","Statistics Data Table","Statistical Detail Name","varchar"
"dbo","cer_sdat_stat_data","sdat_desc","Statistics Data Table","Statistical Detail Description","varchar"
"dbo","cer_sdat_stat_data","sdat_val_char","Statistics Data Table","Statistical Detail Character Value","varchar"
"dbo","cer_sdat_stat_data","sdat_val_date","Statistics Data Table","Statistical Detail Date Value","datetime"
"dbo","cer_sdat_stat_data","sdat_val_num","Statistics Data Table","Statistical Detail Number Value","money"
"dbo","cer_sdat_stat_data","sdat_stat_mgr_api","Statistics Data Table","Statistics Manager API","char"
"dbo","cer_sdat_stat_data","sdat_lock_token","Statistics Data Table","Lock Token","smallint"
"dbo","cer_sdat_stat_data","atxr_source_id","Statistics Data Table","Attachment Source Id","datetime"
