"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_srin_srch_indv","srch_id","System Search Definition","Search Configuration ID","varchar"
"dbo","cer_srin_srch_indv","srin_seq_no","System Search Definition","Search Config. Sequence No.","smallint"
"dbo","cer_srin_srch_indv","srds_id","System Search Definition","Search Configuration Display List ID","varchar"
"dbo","cer_srin_srch_indv","srin_desc","System Search Definition","Search Configuration Description","varchar"
"dbo","cer_srin_srch_indv","srin_sp_name","System Search Definition","Search Configuration Procedure Name","varchar"
"dbo","cer_srin_srch_indv","srin_data_id","System Search Definition","Search Configuration Data ID","varchar"
"dbo","cer_srin_srch_indv","pcfg_id","System Search Definition","Search Configuration ID","varchar"
"dbo","cer_srin_srch_indv","srin_disp_order","System Search Definition","Search Display Order","smallint"
"dbo","cer_srin_srch_indv","srin_view_ind","System Search Definition","Search View Indicator","char"
"dbo","cer_srin_srch_indv","srin_parm_edit_sw","System Search Definition","Individual Search Parameter Switch","smallint"
"dbo","cer_srin_srch_indv","srin_lock_token","System Search Definition","Lock Token","smallint"
