"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_srpm_srch_parm","srch_id","Search Parameter Definition","Search Parameters ID","varchar"
"dbo","cer_srpm_srch_parm","srin_seq_no","Search Parameter Definition","Search Parameters Sequence No.","smallint"
"dbo","cer_srpm_srch_parm","srpm_seq_no","Search Parameter Definition","Search Parameters Sequence No.","smallint"
"dbo","cer_srpm_srch_parm","srpm_label","Search Parameter Definition","Search Parameters Label","varchar"
"dbo","cer_srpm_srch_parm","srpm_length","Search Parameter Definition","Search Parameters Length","smallint"
"dbo","cer_srpm_srch_parm","srpm_parm_name","Search Parameter Definition","Search Parameters Name","varchar"
"dbo","cer_srpm_srch_parm","srpm_parm_type","Search Parameter Definition","Search Parameter Type","smallint"
"dbo","cer_srpm_srch_parm","srpm_allow_partial","Search Parameter Definition","Search Parameters Fill Type","char"
"dbo","cer_srpm_srch_parm","srpm_required_ind","Search Parameter Definition","Search Parameters Indicator","char"
"dbo","cer_srpm_srch_parm","srpm_hidden","Search Parameter Definition","Search Parameters Display","char"
"dbo","cer_srpm_srch_parm","srpm_min_len","Search Parameter Definition","Search Parameter Minimum Entry Length","smallint"
"dbo","cer_srpm_srch_parm","srpm_lock_token","Search Parameter Definition","Lock Token","smallint"
