"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_stin_stat_inst","stin_aid","Statistics Instance Table","Statistical Instance Activity ID","char"
"dbo","cer_stin_stat_inst","syin_inst","Statistics Instance Table","Instance ID","bigint"
"dbo","cer_stin_stat_inst","stin_parent_aid","Statistics Instance Table","Parent Instance Activity ID","char"
"dbo","cer_stin_stat_inst","stin_name","Statistics Instance Table","Instance Name","varchar"
"dbo","cer_stin_stat_inst","stin_type","Statistics Instance Table","Instance Type","char"
"dbo","cer_stin_stat_inst","stin_beg_dtm","Statistics Instance Table","Begin Time","datetime"
"dbo","cer_stin_stat_inst","stin_end_dtm","Statistics Instance Table","End Time","datetime"
"dbo","cer_stin_stat_inst","stin_beg_file","Statistics Instance Table","Begin File","varchar"
"dbo","cer_stin_stat_inst","stin_beg_line","Statistics Instance Table","Begin Line","varchar"
"dbo","cer_stin_stat_inst","stin_beg_func","Statistics Instance Table","Begin Function","varchar"
"dbo","cer_stin_stat_inst","stin_end_file","Statistics Instance Table","End File","varchar"
"dbo","cer_stin_stat_inst","stin_end_line","Statistics Instance Table","End Line","varchar"
"dbo","cer_stin_stat_inst","stin_end_func","Statistics Instance Table","End Function","varchar"
"dbo","cer_stin_stat_inst","stin_stat_style","Statistics Instance Table","Statiscal Style","char"
"dbo","cer_stin_stat_inst","stin_lock_token","Statistics Instance Table","Lock Token","smallint"
"dbo","cer_stin_stat_inst","atxr_source_id","Statistics Instance Table","Attachment Source Id","datetime"
