"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_syac_action","syac_creat_dt","System Activity Table","System Action Data Row Create Date","datetime"
"dbo","cer_syac_action","syin_inst","System Activity Table","System Instance ID","bigint"
"dbo","cer_syac_action","syac_type","System Activity Table","System Action Data Row Type","char"
"dbo","cer_syac_action","syac_act_cd","System Activity Table","System Action Code","char"
"dbo","cer_syac_action","syac_act_dt","System Activity Table","System Action Activity Date","datetime"
"dbo","cer_syac_action","syac_source","System Activity Table","System Action Source","char"
"dbo","cer_syac_action","syac_sts","System Activity Table","System Action Status","char"
"dbo","cer_syac_action","syac_req_type","System Activity Table","System Action Request Type","char"
"dbo","cer_syac_action","meme_ck","System Activity Table","Member Contrived Key","int"
"dbo","cer_syac_action","sbsb_ck","System Activity Table","Subscriber Contrived Key","int"
"dbo","cer_syac_action","sgsg_ck","System Activity Table","Subgroup Contrived Key","int"
"dbo","cer_syac_action","grgr_ck","System Activity Table","Group Contrived Key","int"
"dbo","cer_syac_action","cscs_id","System Activity Table","System Action Class ID","char"
"dbo","cer_syac_action","cspd_cat","System Activity Table","System Action Class Product Category","char"
"dbo","cer_syac_action","cspi_id","System Activity Table","System Action Class Plan Identifier","char"
"dbo","cer_syac_action","clcl_id","System Activity Table","System Action Claim ID","char"
"dbo","cer_syac_action","umum_id","System Activity Table","System Action Utilization Management ID","char"
"dbo","cer_syac_action","prpr_id","System Activity Table","System Action Provider ID","char"
"dbo","cer_syac_action","atsy_id","System Activity Table","System Action Attachment Style ID","char"
"dbo","cer_syac_action","atxr_dest_id","System Activity Table","System Action Attachment Destination ID","datetime"
"dbo","cer_syac_action","atlt_seq_no","System Activity Table","System Action Attached Letters Sequence Number","smallint"
"dbo","cer_syac_action","syac_lock_token","System Activity Table","Lock Token","smallint"
"dbo","cer_syac_action","atxr_source_id","System Activity Table","Attachment Source Id","datetime"
