"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_syin_inst","syin_inst","System Instances","Instance ID","bigint"
"dbo","cer_syin_inst","spid","System Instances","System Session ID","smallint"
"dbo","cer_syin_inst","pzpz_id","System Instances","Product ID","char"
"dbo","cer_syin_inst","pzap_app_id","System Instances","Product Application ID","char"
"dbo","cer_syin_inst","usap_version","System Instances","User Application version","char"
"dbo","cer_syin_inst","syin_ref_id","System Instances","Instance Reference ID","char"
"dbo","cer_syin_inst","syin_host","System Instances","Host Machine Name","varchar"
"dbo","cer_syin_inst","syin_host_pid","System Instances","Host process ID","varchar"
"dbo","cer_syin_inst","syin_sts","System Instances","Status","char"
"dbo","cer_syin_inst","syin_desc","System Instances","Description","char"
"dbo","cer_syin_inst","syin_parent_inst","System Instances","Parent Instance","bigint"
"dbo","cer_syin_inst","usus_id","System Instances","User Identifier","char"
"dbo","cer_syin_inst","syin_create_dtm","System Instances","Create date time","datetime"
"dbo","cer_syin_inst","syin_complete_dtm","System Instances","Complete Date time","datetime"
"dbo","cer_syin_inst","syin_lock_token","System Instances","Lock Token","smallint"
"dbo","cer_syin_inst","syin_pod_nvl","System Instances","Sign in POD","varchar"
"dbo","cer_syin_inst","syin_image_nvl","System Instances","Sign in Image","varchar"
"dbo","cer_syin_inst","syin_node_nvl","System Instances","Sign in Node","varchar"
"dbo","cer_syin_inst","syin_namespace_nvl","System Instances","Sign in Namespace","varchar"
"dbo","cer_syin_inst","syin_return_code_nvl","System Instances","Application Return Code","int"
