"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_symd_msg_def","symd_id","","System Message ID","char"
"dbo","cer_symd_msg_def","symd_msg_cd","","System Message Code","int"
"dbo","cer_symd_msg_def","symd_type","","Message Type","char"
"dbo","cer_symd_msg_def","symd_level","","Message Level","char"
"dbo","cer_symd_msg_def","symd_short_desc","","Short Description","char"
"dbo","cer_symd_msg_def","symd_long_desc","","Long Description","char"
"dbo","cer_symd_msg_def","symd_solution","","Solution","char"
"dbo","cer_symd_msg_def","symd_usr_rpt_parm1","","User Reporting Level One","char"
"dbo","cer_symd_msg_def","symd_usr_rpt_parm2","","User Reporting Level Two","char"
"dbo","cer_symd_msg_def","symd_usr_rpt_parm3","","User Reporting Level Three","char"
"dbo","cer_symd_msg_def","symd_rptg_level","","Reporting Level","char"
"dbo","cer_symd_msg_def","symd_string_token1","","String Token One","varchar"
"dbo","cer_symd_msg_def","symd_string_token2","","String Token Two","varchar"
"dbo","cer_symd_msg_def","symd_string_token3","","String Token Three","varchar"
"dbo","cer_symd_msg_def","symd_string_token4","","String Token Four","varchar"
"dbo","cer_symd_msg_def","symd_string_token5","","String Token Five","varchar"
"dbo","cer_symd_msg_def","symd_string_token6","","String Token Six","varchar"
"dbo","cer_symd_msg_def","symd_string_token7","","String Token Seven","varchar"
"dbo","cer_symd_msg_def","symd_string_token8","","String Token Eight","varchar"
"dbo","cer_symd_msg_def","symd_string_token9","","String Token Nine","varchar"
"dbo","cer_symd_msg_def","symd_string_token0","","String Token Ten","varchar"
"dbo","cer_symd_msg_def","symd_money_token1","","Money Token One","varchar"
"dbo","cer_symd_msg_def","symd_money_token2","","Money Token Two","varchar"
"dbo","cer_symd_msg_def","symd_money_token3","","Money Token Three","varchar"
"dbo","cer_symd_msg_def","symd_int_token1","","Interger Token One","varchar"
"dbo","cer_symd_msg_def","symd_int_token2","","Interger Token Two","varchar"
"dbo","cer_symd_msg_def","symd_int_token3","","Interger Token Three","varchar"
"dbo","cer_symd_msg_def","symd_date_token1","","Date Token One","varchar"
"dbo","cer_symd_msg_def","symd_date_token2","","Date Token Two","varchar"
"dbo","cer_symd_msg_def","symd_date_token3","","Date Token Three","varchar"
"dbo","cer_symd_msg_def","symd_help_id","","Help ID","char"
"dbo","cer_symd_msg_def","symd_upd_dt","","Update Date","datetime"
"dbo","cer_symd_msg_def","usus_id","","User Identifier","char"
"dbo","cer_symd_msg_def","symd_next_id","","Next Message ID","char"
"dbo","cer_symd_msg_def","symd_data_id","","System Message Data ID","char"
"dbo","cer_symd_msg_def","symd_next_msg_cd","","Next Message Code","int"
"dbo","cer_symd_msg_def","symd_perf_ind","","Performance Indicator (Y/N)","char"
"dbo","cer_symd_msg_def","symd_msg_cd_perf","","System Message Code for Performance","int"
"dbo","cer_symd_msg_def","symd_lock_token","","Lock Token","smallint"
"dbo","cer_symd_msg_def","atxr_source_id","","Attachment Source Id","datetime"
