"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_syml_msg_log","syin_inst","System Message Log","Instance ID","bigint"
"dbo","cer_syml_msg_log","syml_seq_no","System Message Log","Message Sequence Number","int"
"dbo","cer_syml_msg_log","symd_id","System Message Log","System Message Definition ID","char"
"dbo","cer_syml_msg_log","symd_msg_cd","System Message Log","Message Code","int"
"dbo","cer_syml_msg_log","syml_sts","System Message Log","Status","char"
"dbo","cer_syml_msg_log","syml_context_id","System Message Log","Context ID","char"
"dbo","cer_syml_msg_log","syml_context_ck","System Message Log","Context Contrived key","int"
"dbo","cer_syml_msg_log","syml_string_value1","System Message Log","String Value One","char"
"dbo","cer_syml_msg_log","syml_string_value2","System Message Log","String Value Two","char"
"dbo","cer_syml_msg_log","syml_string_value3","System Message Log","String Value Three","char"
"dbo","cer_syml_msg_log","syml_string_value4","System Message Log","String Value Four","char"
"dbo","cer_syml_msg_log","syml_string_value5","System Message Log","String Value Five","char"
"dbo","cer_syml_msg_log","syml_string_value6","System Message Log","String Value Six","char"
"dbo","cer_syml_msg_log","syml_string_value7","System Message Log","String Value Seven","char"
"dbo","cer_syml_msg_log","syml_string_value8","System Message Log","String Value Eight","char"
"dbo","cer_syml_msg_log","syml_string_value9","System Message Log","String Value Nine","char"
"dbo","cer_syml_msg_log","syml_string_value0","System Message Log","String Value Ten","char"
"dbo","cer_syml_msg_log","syml_money_value1","System Message Log","Money Value One","money"
"dbo","cer_syml_msg_log","syml_money_value2","System Message Log","Money Value Two","money"
"dbo","cer_syml_msg_log","syml_money_value3","System Message Log","Money Value Three","money"
"dbo","cer_syml_msg_log","syml_int_value1","System Message Log","Interger Value One","int"
"dbo","cer_syml_msg_log","syml_int_value2","System Message Log","Interger Value Two","int"
"dbo","cer_syml_msg_log","syml_int_value3","System Message Log","Interger Value Three","int"
"dbo","cer_syml_msg_log","syml_dt_value1","System Message Log","Date Value One","datetime"
"dbo","cer_syml_msg_log","syml_dt_value2","System Message Log","Date Value Two","datetime"
"dbo","cer_syml_msg_log","syml_dt_value3","System Message Log","Date Value Three","datetime"
"dbo","cer_syml_msg_log","usus_id","System Message Log","User Identifier","char"
"dbo","cer_syml_msg_log","syml_create_dt","System Message Log","Create Date","datetime"
"dbo","cer_syml_msg_log","syml_lock_token","System Message Log","Lock Token","smallint"
"dbo","cer_syml_msg_log","syml_text1_nvl","System Message Log","Text 1","varchar"
"dbo","cer_syml_msg_log","syml_text2_nvl","System Message Log","Text 2","varchar"
"dbo","cer_syml_msg_log","syml_text3_nvl","System Message Log","Text 3","varchar"
