"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_tcs0_work","tcs0_row_id","Work table for PTCS Batch","Row Id","numeric"
"dbo","cer_tcs0_work","pzpz_id","Work table for PTCS Batch","Product Id","char"
"dbo","cer_tcs0_work","pzap_app_id","Work table for PTCS Batch","Application Id","char"
"dbo","cer_tcs0_work","pitm_ticket_no","Work table for PTCS Batch","Ticket Number","char"
"dbo","cer_tcs0_work","ptcs_entity_type","Work table for PTCS Batch","Entity Type","char"
"dbo","cer_tcs0_work","ptcs_entity_id","Work table for PTCS Batch","Entity Id","varchar"
"dbo","cer_tcs0_work","ptcs_domain_id","Work table for PTCS Batch","Domain Id","varchar"
"dbo","cer_tcs0_work","ptcs_domain_key","Work table for PTCS Batch","Domain Key","varchar"
"dbo","cer_tcs0_work","ptcs_template_id","Work table for PTCS Batch","Template Id","varchar"
"dbo","cer_tcs0_work","ptcs_create_dtm","Work table for PTCS Batch","Create Date","datetime"
