"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_trac_changes","trac_file_name","Track Database Changes","Name of file being applied.","varchar"
"dbo","cer_trac_changes","trac_release","Track Database Changes","Product release number.","varchar"
"dbo","cer_trac_changes","trac_seq_no","Track Database Changes","Automatically generated unique id number.","smallint"
"dbo","cer_trac_changes","trac_applied_dtm","Track Database Changes","Date applied","datetime"
"dbo","cer_trac_changes","trac_package_num","Track Database Changes","Change package number being applied.","varchar"
"dbo","cer_trac_changes","trac_status","Track Database Changes","Whether application was successful or failed.","char"
"dbo","cer_trac_changes","trac_user","Track Database Changes","Name of user applying fix.","varchar"
"dbo","cer_trac_changes","trac_revision_num","Track Database Changes","Revision number of file being applied.","varchar"
"dbo","cer_trac_changes","sys_last_upd_dtm","Track Database Changes","Last Update Datetime","datetime"
"dbo","cer_trac_changes","sys_usus_id","Track Database Changes","Last Update User ID","varchar"
"dbo","cer_trac_changes","sys_dbuser_id","Track Database Changes","Last Update DBMS User ID","varchar"
