"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_usap_setup","pzpz_id","User Preference Setup Table","Setup Product ID","char"
"dbo","cer_usap_setup","pzap_app_id","User Preference Setup Table","Setup Application ID","char"
"dbo","cer_usap_setup","usus_id","User Preference Setup Table","User Identifier","char"
"dbo","cer_usap_setup","usap_version","User Preference Setup Table","Setup Version","char"
"dbo","cer_usap_setup","usap_desc","User Preference Setup Table","Setup Description","char"
"dbo","cer_usap_setup","usap_setup_date","User Preference Setup Table","Setup Date","datetime"
"dbo","cer_usap_setup","usap_setup_dtm","User Preference Setup Table","","datetime"
"dbo","cer_usap_setup","usap_last_mod_date","User Preference Setup Table","Setup Update Date","datetime"
"dbo","cer_usap_setup","usap_last_mod_dtm","User Preference Setup Table","","datetime"
"dbo","cer_usap_setup","usap_lock_token","User Preference Setup Table","Lock Token","smallint"
"dbo","cer_usap_setup","atxr_source_id","User Preference Setup Table","Attachment Source Id","datetime"
