"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_uspm_parms","pzpz_id","User Parameter Table (N/A)","User Parameter Product ID","char"
"dbo","cer_uspm_parms","pzap_app_id","User Parameter Table (N/A)","User Parameter Application ID","char"
"dbo","cer_uspm_parms","usus_id","User Parameter Table (N/A)","User Identifier","char"
"dbo","cer_uspm_parms","usap_version","User Parameter Table (N/A)","User Parameter Version","char"
"dbo","cer_uspm_parms","scsc_section_id","User Parameter Table (N/A)","User Parameter Section ID","char"
"dbo","cer_uspm_parms","pmsc_parm_id","User Parameter Table (N/A)","User Parameter ID","char"
"dbo","cer_uspm_parms","uspm_seq_no","User Parameter Table (N/A)","User Parameter Sequence Number","smallint"
"dbo","cer_uspm_parms","usap_parm_value","User Parameter Table (N/A)","User Parameter Value","varbinary"
"dbo","cer_uspm_parms","uspm_lock_token","User Parameter Table (N/A)","Lock Token","smallint"
"dbo","cer_uspm_parms","atxr_source_id","User Parameter Table (N/A)","Attachment Source Id","datetime"
