"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_ussp_sec_parms","pzpz_id","User Security Parameters","Product ID","char"
"dbo","cer_ussp_sec_parms","usus_id","User Security Parameters","User Identifier","char"
"dbo","cer_ussp_sec_parms","ussp_type","User Security Parameters","Parameter Type","char"
"dbo","cer_ussp_sec_parms","ussp_cat","User Security Parameters","Parameter Category","char"
"dbo","cer_ussp_sec_parms","ussp_sub_cat","User Security Parameters","Parameter Subcategory","char"
"dbo","cer_ussp_sec_parms","ussp_value_string","User Security Parameters","Value string","char"
"dbo","cer_ussp_sec_parms","ussp_value_int","User Security Parameters","Value Integer","int"
"dbo","cer_ussp_sec_parms","ussp_value_money","User Security Parameters","Value Money","money"
"dbo","cer_ussp_sec_parms","ussp_value_date","User Security Parameters","Value Date","datetime"
"dbo","cer_ussp_sec_parms","ussp_lock_token","User Security Parameters","Lock Token","smallint"
"dbo","cer_ussp_sec_parms","atxr_source_id","User Security Parameters","Attachment Source Id","datetime"
