"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cer_usus_user_d","usus_id","User ID Definition","User Identifier","char"
"dbo","cer_usus_user_d","usus_cat","User ID Definition","User Category","char"
"dbo","cer_usus_user_d","usus_desc","User ID Definition","User/Group Relationship Desc.","varchar"
"dbo","cer_usus_user_d","usus_group_ind","User ID Definition","Group Indicator","char"
"dbo","cer_usus_user_d","usus_password","User ID Definition","Password","varchar"
"dbo","cer_usus_user_d","usus_last_upd_dt","User ID Definition","Update Date","datetime"
"dbo","cer_usus_user_d","usus_last_upd_usus","User ID Definition","Last Update User","varchar"
"dbo","cer_usus_user_d","usus_pwd_upd_dt","User ID Definition","Password Update Date","datetime"
"dbo","cer_usus_user_d","usus_pwd_upd_usus","User ID Definition","Password Update User ID","varchar"
"dbo","cer_usus_user_d","usus_site_code","User ID Definition","User Site","char"
"dbo","cer_usus_user_d","usus_orig_plan_cd","User ID Definition","Originating Plan Code","char"
"dbo","cer_usus_user_d","usus_id_signon","User ID Definition","User ID used to connect to the database","varchar"
"dbo","cer_usus_user_d","usus_status","User ID Definition","User Status (Active/Inactive)","char"
"dbo","cer_usus_user_d","usus_lock_token","User ID Definition","Lock Token","smallint"
"dbo","cer_usus_user_d","atxr_source_id","User ID Definition","Attachment Source Id","datetime"
